no,reviseNetID,text,distA,distAMinus,distBPlus,distB,maxSim,predicted,expected
1,abassopeyemi,script title legend br input img img p br br input img img p br br br option option option img img p br br br option option option option option option option option option option option img img p br br input script title legend br input img img p br br input img img p br br input img img p p br br input input  VariableDeclaration VariableDeclaration ExpressionStatement IfStatement VariableDeclaration VariableDeclaration VariableDeclaration VariableDeclaration IfStatement VariableDeclaration VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement VariableDeclaration VariableDeclaration ExpressionStatement IfStatement ReturnStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement ExpressionStatement,0.575575649,0.550933216,0.611070383,0.495707519,0.611070383,B+,B+
2,abkesjacob,script title legend br input img img p br br input img img p br br br option option option img img p br br br option option option option option option option option option option option img img p br br input script title legend br input img img p br br input img img p br br input img img p p br br input input  VariableDeclaration VariableDeclaration ExpressionStatement IfStatement VariableDeclaration VariableDeclaration VariableDeclaration VariableDeclaration IfStatement VariableDeclaration VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement VariableDeclaration VariableDeclaration ExpressionStatement IfStatement ReturnStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement ExpressionStatement,0.575610583,0.550149905,0.604751697,0.495717578,0.604751697,B+,A-
3,adedojaabdulsalam,script title legend br input img img p br br input img img p br br br option option option img img p br br br option option option option option option option option option option option img img p br br input script title legend br input img img p br br input img img p br br input img img p p br br input input  VariableDeclaration VariableDeclaration ExpressionStatement IfStatement VariableDeclaration VariableDeclaration VariableDeclaration VariableDeclaration IfStatement VariableDeclaration VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement VariableDeclaration VariableDeclaration ExpressionStatement IfStatement ReturnStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement ExpressionStatement,0.578030056,0.550943711,0.604751697,0.495717578,0.604751697,B+,A
4,almansoorimohamed,script title legend br input img img p br br input img img p br br br option option option img img p br br br option option option option option option option option option option option img img p br br input script title legend br input img img p br br input img img p br br input img img p p br br input input  VariableDeclaration VariableDeclaration ExpressionStatement IfStatement VariableDeclaration VariableDeclaration VariableDeclaration VariableDeclaration IfStatement VariableDeclaration VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement VariableDeclaration VariableDeclaration ExpressionStatement IfStatement ReturnStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement ExpressionStatement,0.575608077,0.551264986,0.604724539,0.495717578,0.604724539,B+,A-
5,alramahiahmad,script title legend br input img img p br br input img img p br br br option option option img img p br br br option option option option option option option option option option option img img p br br input script title legend br input img img p br br input img img p br br input img img p p br br input input  VariableDeclaration VariableDeclaration ExpressionStatement IfStatement VariableDeclaration VariableDeclaration VariableDeclaration VariableDeclaration IfStatement VariableDeclaration VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement VariableDeclaration VariableDeclaration ExpressionStatement IfStatement ReturnStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement ExpressionStatement,0.57464545,0.545941985,0.60385827,0.495085615,0.60385827,B+,A-
6,andersonmarcella,script title legend br input img img p br br input img img p br br br option option option img img p br br br option option option option option option option option option option option img img p br br input script title legend br input img img p br br input img img p br br input img img p p br br input input  VariableDeclaration VariableDeclaration ExpressionStatement IfStatement VariableDeclaration VariableDeclaration VariableDeclaration VariableDeclaration IfStatement VariableDeclaration VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement VariableDeclaration VariableDeclaration ExpressionStatement IfStatement ReturnStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement ExpressionStatement,0.575601216,0.550940895,0.612105866,0.495717578,0.612105866,B+,B+
7,baechleandrei,script title legend br input img img p br br input img img p br br br option option option img img p br br br option option option option option option option option option option option img img p br br input script title legend br input img img p br br input img img p br br input img img p p br br input input  VariableDeclaration VariableDeclaration ExpressionStatement IfStatement VariableDeclaration VariableDeclaration VariableDeclaration VariableDeclaration IfStatement VariableDeclaration VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement VariableDeclaration VariableDeclaration ExpressionStatement IfStatement ReturnStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement ExpressionStatement,0.575611961,0.552338113,0.604751697,0.495717578,0.604751697,B+,A-
8,barnesdaniel,script title legend br input img img p br br input img img p br br br option option option img img p br br br option option option option option option option option option option option img img p br br input script title legend br input img img p br br input img img p br br input img img p p br br input input  VariableDeclaration VariableDeclaration ExpressionStatement IfStatement VariableDeclaration VariableDeclaration VariableDeclaration VariableDeclaration IfStatement VariableDeclaration VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement VariableDeclaration VariableDeclaration ExpressionStatement IfStatement ReturnStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement ExpressionStatement,0.574670893,0.550943754,0.604733585,0.495717578,0.604733585,B+,A
9,barrettlogan,script title legend br input img img p br br input img img p br br br option option option img img p br br br option option option option option option option option option option option img img p br br input script title legend br input img img p br br input img img p br br input img img p p br br input input  VariableDeclaration VariableDeclaration ExpressionStatement IfStatement VariableDeclaration VariableDeclaration VariableDeclaration VariableDeclaration IfStatement VariableDeclaration VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement VariableDeclaration VariableDeclaration ExpressionStatement IfStatement ReturnStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement ExpressionStatement,0.576442329,0.550942357,0.604751697,0.495724273,0.604751697,B+,A
10,bellsteckellucas,script title legend br input img img p br br input img img p br br br option option option img img p br br br option option option option option option option option option option option img img p br br input script title legend br input img img p br br input img img p br br input img img p p br br input input  VariableDeclaration VariableDeclaration ExpressionStatement IfStatement VariableDeclaration VariableDeclaration VariableDeclaration VariableDeclaration IfStatement VariableDeclaration VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement VariableDeclaration VariableDeclaration ExpressionStatement IfStatement ReturnStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement ExpressionStatement,0.575611655,0.547546918,0.604751697,0.495717578,0.604751697,B+,A-
