maxSim,maxSim,label
0.112282276,0.355498695,I-MF
0.138583809,0.355631425,I-MM
0.089561025,0.338354747,I-MM
0.089561025,0.338354747,I-MM
0.138583809,0.355631425,I-MF
0.112282276,0.355498695,I-MM
0.069043689,0.3575062,I-SE
0.108957482,0.412437021,I-MM
0.076100659,0.32045854,I-MM
0.076100659,0.32045854,I-SE
0.108957482,0.412437021,I-MM
0.069043689,0.3575062,I-SE
0.121551674,0.558178497,I-MF
0.140496454,0.587050795,I-MF
0.04721782,0.384250864,I-SE
0.04721782,0.384250864,I-SE
0.140496454,0.587050795,I-MF
0.121551674,0.558178497,I-MF
0.127256164,0.291256181,I-MM
0.124477464,0.37549519,I-MM
0.065333804,0.315532742,I-MM
0.065333804,0.315532742,I-MM
0.124477464,0.37549519,I-MM
0.127256164,0.291256181,I-MM
0.102595627,0.564752474,I-SE
0.076476537,0.368910267,I-SE
0.061031447,0.30309037,I-SE
0.061031447,0.30309037,I-SE
0.076476537,0.368910267,I-SE
0.102595627,0.564752474,I-SE
0.143016336,0.537181655,I-MM
0.129737652,0.537475825,I-MM
0.128314562,0.469526987,I-MM
0.128314562,0.469526987,I-MM
0.129737652,0.537475825,I-SE
0.143016336,0.537181655,I-MM
0.206764409,0.595243935,I-MF
0.192468509,0.643349122,I-MF
0.141320511,0.545526902,I-MF
0.141320511,0.545526902,I-MF
0.192468509,0.643349122,I-MF
0.206764409,0.595243935,I-MF
0.042280399,0.338029556,I-MM
0.048407525,0.303288003,I-MM
0.028415081,0.269161919,I-MM
0.028415081,0.269161919,I-MM
0.048407525,0.303288003,I-MM
0.042280399,0.338029556,I-MM
0.075644908,0.412898309,I-SE
0.040968752,0.245115408,I-NE
0.089361733,0.31875256,I-SE
0.089361733,0.31875256,I-SE
0.040968752,0.245115408,I-NE
0.075644908,0.412898309,I-SE
0.092494299,0.541891911,I-SE
0.106295265,0.44430178,I-MM
0.097174972,0.349545841,I-MM
0.097174972,0.349545841,I-MM
