distIMF,distIMM,distISE,distINE,distIMF-p4,distIMM-p4,distISE-p4,distINE-p4,label
0.092668485,0.112282276,0.102649289,0.058859105,0.349135173,0.355498695,0.349696568,0.24269019,I-MF
0.117107188,0.138583809,0.125831243,0.07126601,0.3304769,0.355631425,0.349202247,0.255999632,I-MM
0.072062627,0.089561025,0.077987449,0.030539374,0.299753829,0.338354747,0.336513253,0.251134345,I-MM
0.072062627,0.089561025,0.077987449,0.030539374,0.299753829,0.338354747,0.336513253,0.251134345,I-MM
0.117107188,0.138583809,0.125831243,0.07126601,0.3304769,0.355631425,0.349202247,0.255999632,I-MF
0.092668485,0.112282276,0.102649289,0.058859105,0.349135173,0.355498695,0.349696568,0.24269019,I-MM
0.057664017,0.064535264,0.069043689,0.030650878,0.3575062,0.350334193,0.349466264,0.253590011,I-SE
0.083981567,0.108957482,0.096125436,0.061460243,0.332613288,0.35505074,0.37325454,0.412437021,I-MM
0.065706154,0.072712422,0.076100659,0.04444945,0.292910391,0.30515035,0.319871418,0.32045854,I-MM
0.065706154,0.072712422,0.076100659,0.04444945,0.292910391,0.30515035,0.319871418,0.32045854,I-SE
0.083981567,0.108957482,0.096125436,0.061460243,0.332613288,0.35505074,0.37325454,0.412437021,I-MM
0.057664017,0.064535264,0.069043689,0.030650878,0.3575062,0.350334193,0.349466264,0.253590011,I-SE
0.121551674,0.119461324,0.10900636,0.06671887,0.554245487,0.558178497,0.552558092,0.415039843,I-MF
0.140496454,0.131733566,0.117565136,0.070483831,0.587050795,0.578331599,0.572342967,0.428747705,I-MF
0.044539592,0.041429542,0.04721782,0.025821471,0.366402647,0.376057213,0.384250864,0.318865662,I-SE
0.044539592,0.041429542,0.04721782,0.025821471,0.366402647,0.376057213,0.384250864,0.318865662,I-SE
0.140496454,0.131733566,0.117565136,0.070483831,0.587050795,0.578331599,0.572342967,0.428747705,I-MF
0.121551674,0.119461324,0.10900636,0.06671887,0.554245487,0.558178497,0.552558092,0.415039843,I-MF
0.092308288,0.127256164,0.112390874,0.062230542,0.277422037,0.291256181,0.281869785,0.199219817,I-MM
0.09395997,0.124477464,0.120542056,0.072167242,0.343102235,0.37549519,0.359324185,0.250304392,I-MM
0.055598312,0.064652598,0.065333804,0.030857173,0.293402158,0.315532742,0.31272521,0.228567422,I-MM
0.055598312,0.064652598,0.065333804,0.030857173,0.293402158,0.315532742,0.31272521,0.228567422,I-MM
0.09395997,0.124477464,0.120542056,0.072167242,0.343102235,0.37549519,0.359324185,0.250304392,I-MM
0.092308288,0.127256164,0.112390874,0.062230542,0.277422037,0.291256181,0.281869785,0.199219817,I-MM
0.083754119,0.099341527,0.102595627,0.058928485,0.537948976,0.564752474,0.556104328,0.423512576,I-SE
0.059672526,0.071270156,0.076476537,0.04327677,0.347814127,0.368910267,0.361450012,0.24620536,I-SE
0.048719448,0.056720012,0.061031447,0.030587063,0.270286662,0.296612325,0.30309037,0.219134195,I-SE
0.048719448,0.056720012,0.061031447,0.030587063,0.270286662,0.296612325,0.30309037,0.219134195,I-SE
0.059672526,0.071270156,0.076476537,0.04327677,0.347814127,0.368910267,0.361450012,0.24620536,I-SE
0.083754119,0.099341527,0.102595627,0.058928485,0.537948976,0.564752474,0.556104328,0.423512576,I-SE
0.123357318,0.143016336,0.105000836,0.059625084,0.537181655,0.519255864,0.498049256,0.352518705,I-MM
0.129737652,0.120506984,0.115619133,0.061857296,0.537475825,0.506701062,0.494812462,0.349506322,I-MM
0.113759995,0.128314562,0.128312078,0.066910143,0.451267313,0.459724663,0.469526987,0.399635517,I-MM
0.113759995,0.128314562,0.128312078,0.066910143,0.451267313,0.459724663,0.469526987,0.399635517,I-MM
0.129737652,0.120506984,0.115619133,0.061857296,0.537475825,0.506701062,0.494812462,0.349506322,I-SE
0.123357318,0.143016336,0.105000836,0.059625084,0.537181655,0.519255864,0.498049256,0.352518705,I-MM
0.195309992,0.206764409,0.17320945,0.095152368,0.595243935,0.584675095,0.563157077,0.406782242,I-MF
0.192468509,0.175322474,0.166034435,0.097312242,0.643349122,0.625049041,0.613105527,0.459836956,I-MF
0.130569034,0.137831469,0.141320511,0.076147699,0.545526902,0.544283479,0.53826004,0.413826659,I-MF
0.130569034,0.137831469,0.141320511,0.076147699,0.545526902,0.544283479,0.53826004,0.413826659,I-MF
0.192468509,0.175322474,0.166034435,0.097312242,0.643349122,0.625049041,0.613105527,0.459836956,I-MF
0.195309992,0.206764409,0.17320945,0.095152368,0.595243935,0.584675095,0.563157077,0.406782242,I-MF
0.033124354,0.042280399,0.041038335,0.022444915,0.338029556,0.333630768,0.334933924,0.297918077,I-MM
0.048407525,0.039433571,0.031839574,0.013970734,0.303288003,0.299997322,0.293265256,0.214146284,I-MM
0.023456419,0.028415081,0.024363527,0.008526267,0.255428502,0.269161919,0.263470938,0.179429736,I-MM
0.023456419,0.028415081,0.024363527,0.008526267,0.255428502,0.269161919,0.263470938,0.179429736,I-MM
0.048407525,0.039433571,0.031839574,0.013970734,0.303288003,0.299997322,0.293265256,0.214146284,I-MM
0.033124354,0.042280399,0.041038335,0.022444915,0.338029556,0.333630768,0.334933924,0.297918077,I-MM
0.064112297,0.064119921,0.075644908,0.051065601,0.412898309,0.394534141,0.397102825,0.318827259,I-SE
0.036178248,0.03300236,0.032971331,0.040968752,0.245115408,0.23558264,0.230753214,0.182133362,I-NE
0.077987609,0.082497609,0.089361733,0.042935595,0.316632259,0.31875256,0.31569945,0.251887275,I-SE
0.077987609,0.082497609,0.089361733,0.042935595,0.316632259,0.31875256,0.31569945,0.251887275,I-SE
0.036178248,0.03300236,0.032971331,0.040968752,0.245115408,0.23558264,0.230753214,0.182133362,I-NE
0.064112297,0.064119921,0.075644908,0.051065601,0.412898309,0.394534141,0.397102825,0.318827259,I-SE
0.080365724,0.092494299,0.091128511,0.052225646,0.541891911,0.537800007,0.515446336,0.356134882,I-SE
0.095714519,0.106295265,0.102003451,0.057544874,0.43562806,0.44430178,0.441510511,0.325975899,I-MM
0.077533541,0.097174972,0.095086616,0.040880619,0.331793643,0.345129679,0.349545841,0.283166796,I-MM
0.077533541,0.097174972,0.095086616,0.040880619,0.331793643,0.345129679,0.349545841,0.283166796,I-MM
