no,testId,topic,distIMF,distIMM,distISE,distINE,maxSim,predicted,expected,distIMF-pos,distIMM-pos,distISE-pos,distINE-pos
1,2066577,ANIMALS,0.05853162,0.04602222,0.03540058,0.00524641,0.05853162,I-MF,I-MF,0.35085185,0.34569793,0.33641031,0.15019473
2,2066577,COMMUNICATIONS,0.04697602,0.06019509,0.03731633,0.00614676,0.06019509,I-MM,I-MM,0.27491016,0.27186007,0.26105731,0.10991522
3,2066577,DIRECTIONS,0.09211326,0.06199179,0.05188424,0.00826692,0.09211326,I-MF,I-MF,0.47405175,0.4454289,0.41944371,0.17090939
4,2076436,ANIMALS,0.12447693,0.1014596,0.06812574,0.00991188,0.12447693,I-MF,I-MF,0.57631824,0.5667376,0.5320822,0.22159596
5,2076436,COMMUNICATIONS,0.1192939,0.10090061,0.0956388,0.01288946,0.1192939,I-MF,I-MF,0.54611629,0.55158698,0.55552452,0.28715543
6,2076436,DIRECTIONS,0.12418867,0.10582116,0.09282122,0.00883633,0.12418867,I-MF,I-MF,0.68893596,0.66819341,0.65363177,0.28814264
7,2077288,POP_CULTURE,0.09275678,0.1021215,0.14046285,0.02154879,0.14046285,I-SE,I-SE,0.41475711,0.421169,0.42986277,0.21516532
8,2077288,THEATER,0.08592054,0.10368017,0.15247786,0.02098296,0.15247786,I-SE,I-SE,0.44942113,0.45008577,0.44890807,0.18836032
9,2077288,TRAVEL,0.08775989,0.08580417,0.13328441,0.01451547,0.13328441,I-SE,I-SE,0.52591398,0.50397379,0.50184261,0.17177708
10,2092621,CAREERS,0.07543615,0.09049722,0.05802374,0.01120416,0.09049722,I-MM,I-MM,0.42962489,0.41048247,0.38734719,0.1316797
11,2092621,DIRECTIONS,0.04936123,0.03929366,0.05874665,0.02174232,0.05874665,I-SE,I-SE,0.20389651,0.21252532,0.21962838,0.163891
12,2092621,SCIENCE,0.07708895,0.0978327,0.05647271,0.01062669,0.0978327,I-MM,I-MM,0.46891216,0.48214407,0.46715771,0.26153885
13,2105032,POP_CULTURE,0.13014734,0.11308022,0.10112378,0.01962482,0.13014734,I-MF,I-MF,0.62355256,0.62154177,0.60377797,0.2788571
14,2105032,THEATER,0.12266008,0.09829254,0.07739829,0.02105266,0.12266008,I-MF,I-MF,0.54311674,0.54142373,0.51853492,0.31274587
15,2105032,TRAVEL,0.14065876,0.12295783,0.11419519,0.02007259,0.14065876,I-MF,I-MF,0.63343696,0.60961184,0.59194685,0.22775674
16,2108940,POP_CULTURE,0.19374755,0.16816552,0.13429291,0.02638146,0.19374755,I-MF,I-MF,0.70841513,0.7008745,0.69619492,0.32277003
17,2108940,THEATER,0.16063006,0.11865258,0.09819804,0.01718304,0.16063006,I-MF,I-MF,0.71694684,0.71184905,0.70633101,0.31743367
18,2108940,TRAVEL,0.16600126,0.1394304,0.12600242,0.02581352,0.16600126,I-MF,I-MF,0.61113569,0.5856921,0.55855132,0.20736003
