no, distIMF, distIMM, distISE, distINE, maxSim, predicted, expected,,Overall,
1,0.83282658,0.837549041,0.826586549,0.66571384,0.837549041,I-MM,I-MF,,Correct,8773
2,0.771269015,0.793153138,0.785911901,0.646099553,0.793153138,I-MM,I-MM,,Total,19069
3,0.585868221,0.636504824,0.644688873,0.547593063,0.644688873,I-SE,I-MM,,Percentage,46%
4,0.585868221,0.636504824,0.644688873,0.547593063,0.644688873,I-SE,I-MM,,IMF,
5,0.771269015,0.793153138,0.785911901,0.646099553,0.793153138,I-MM,I-MF,,Correct,4598
6,0.83282658,0.837549041,0.826586549,0.66571384,0.837549041,I-MM,I-MM,,Total,7170
7,0.876353212,0.879917808,0.874953883,0.703859475,0.879917808,I-MM,I-SE,,Percentage,64%
8,0.780302728,0.80696423,0.830094417,0.847552176,0.847552176,I-NE,I-MM,,IMM,
9,0.783345003,0.802843886,0.821357408,0.805258943,0.821357408,I-SE,I-MM,,Correct,1543
10,0.783345003,0.802843886,0.821357408,0.805258943,0.821357408,I-SE,I-SE,,Total,5529
11,0.780302728,0.80696423,0.830094417,0.847552176,0.847552176,I-NE,I-MM,,Percentage,28%
12,0.876353212,0.879917808,0.874953883,0.703859475,0.879917808,I-MM,I-SE,,ISE,
13,0.925523547,0.938718948,0.935652428,0.77267481,0.938718948,I-MM,I-MF,,Correct,1498
14,0.914543418,0.920842625,0.915729275,0.749144523,0.920842625,I-MM,I-MF,,Total,4080
15,0.798488391,0.826871777,0.835949592,0.720236164,0.835949592,I-SE,I-SE,,Percentage,37%
16,0.798488391,0.826871777,0.835949592,0.720236164,0.835949592,I-SE,I-SE,,INE,
17,0.914543418,0.920842625,0.915729275,0.749144523,0.920842625,I-MM,I-MF,,Correct,1134
18,0.925523547,0.938718948,0.935652428,0.77267481,0.938718948,I-MM,I-MF,,Total,2290
19,0.694569205,0.715805689,0.709861919,0.563438846,0.715805689,I-MM,I-MM,,Percentage,50%
20,0.696077198,0.715257594,0.704423976,0.563340967,0.715257594,I-MM,I-MM,,,
21,0.669226901,0.710474066,0.710297009,0.588097301,0.710474066,I-MM,I-MM,,,
22,0.669226901,0.710474066,0.710297009,0.588097301,0.710474066,I-MM,I-MM,,,
23,0.696077198,0.715257594,0.704423976,0.563340967,0.715257594,I-MM,I-MM,,,
24,0.694569205,0.715805689,0.709861919,0.563438846,0.715805689,I-MM,I-MM,,,
25,0.906452415,0.92273655,0.919854546,0.783503491,0.92273655,I-MM,I-SE,,,
26,0.812913352,0.837295052,0.823425264,0.639670328,0.837295052,I-MM,I-SE,,,
27,0.66400333,0.693602413,0.697256954,0.576681229,0.697256954,I-SE,I-SE,,,
28,0.66400333,0.693602413,0.697256954,0.576681229,0.697256954,I-SE,I-SE,,,
29,0.812913352,0.837295052,0.823425264,0.639670328,0.837295052,I-MM,I-SE,,,
30,0.906452415,0.92273655,0.919854546,0.783503491,0.92273655,I-MM,I-SE,,,
31,0.887881061,0.867817018,0.848961142,0.669153578,0.887881061,I-MF,I-MM,,,
32,0.90363682,0.876639692,0.860180746,0.679470315,0.90363682,I-MF,I-MM,,,
33,0.886540871,0.895771699,0.904840875,0.817424618,0.904840875,I-SE,I-MM,,,
34,0.886540871,0.895771699,0.904840875,0.817424618,0.904840875,I-SE,I-MM,,,
35,0.90363682,0.876639692,0.860180746,0.679470315,0.90363682,I-MF,I-SE,,,
36,0.887881061,0.867817018,0.848961142,0.669153578,0.887881061,I-MF,I-MM,,,
37,0.923581229,0.912564686,0.896474407,0.731433433,0.923581229,I-MF,I-MF,,,
38,0.930516737,0.912368795,0.904220382,0.76432828,0.930516737,I-MF,I-MF,,,
39,0.918514479,0.923135114,0.922231298,0.774121935,0.923135114,I-MM,I-MF,,,
40,0.918514479,0.923135114,0.922231298,0.774121935,0.923135114,I-MM,I-MF,,,
41,0.930516737,0.912368795,0.904220382,0.76432828,0.930516737,I-MF,I-MF,,,
42,0.923581229,0.912564686,0.896474407,0.731433433,0.923581229,I-MF,I-MF,,,
43,0.840817297,0.839346706,0.845350402,0.792682896,0.845350402,I-SE,I-MM,,,
44,0.822864515,0.828184261,0.814025737,0.644044036,0.828184261,I-MM,I-MM,,,
45,0.66372245,0.691854264,0.689125683,0.542310208,0.691854264,I-MM,I-MM,,,
46,0.66372245,0.691854264,0.689125683,0.542310208,0.691854264,I-MM,I-MM,,,
47,0.822864515,0.828184261,0.814025737,0.644044036,0.828184261,I-MM,I-MM,,,
48,0.840817297,0.839346706,0.845350402,0.792682896,0.845350402,I-SE,I-MM,,,
49,0.844377787,0.815133356,0.8077247,0.689654034,0.844377787,I-MF,I-SE,,,
50,0.774478329,0.752100361,0.735857627,0.601885955,0.774478329,I-MF,I-NE,,,
51,0.806707007,0.82227376,0.821521637,0.73050722,0.82227376,I-MM,I-SE,,,
52,0.806707007,0.82227376,0.821521637,0.73050722,0.82227376,I-MM,I-SE,,,
53,0.774478329,0.752100361,0.735857627,0.601885955,0.774478329,I-MF,I-NE,,,
54,0.844377787,0.815133356,0.8077247,0.689654034,0.844377787,I-MF,I-SE,,,
55,0.874149307,0.864345744,0.851374351,0.700640586,0.874149307,I-MF,I-SE,,,
56,0.904977252,0.906376144,0.900059311,0.737040344,0.906376144,I-MM,I-MM,,,
57,0.869363624,0.884175248,0.88899606,0.762510721,0.88899606,I-SE,I-MM,,,
58,0.869363624,0.884175248,0.88899606,0.762510721,0.88899606,I-SE,I-MM,,,
59,0.904977252,0.906376144,0.900059311,0.737040344,0.906376144,I-MM,I-MM,,,
60,0.874149307,0.864345744,0.851374351,0.700640586,0.874149307,I-MF,I-MM,,,
61,0.794852081,0.809731884,0.81270874,0.698015131,0.81270874,I-SE,I-MM,,,
62,0.851324784,0.881191508,0.893218536,0.802715937,0.893218536,I-SE,I-MM,,,
63,0.49942993,0.546727706,0.568765613,0.563967529,0.568765613,I-SE,I-MM,,,
64,0.49942993,0.546727706,0.568765613,0.563967529,0.568765613,I-SE,I-MM,,,
65,0.851324784,0.881191508,0.893218536,0.802715937,0.893218536,I-SE,I-MM,,,
66,0.794852081,0.809731884,0.81270874,0.698015131,0.81270874,I-SE,I-MM,,,
67,0.899352789,0.91486022,0.916744685,0.806004271,0.916744685,I-SE,I-MF,,,
68,0.859763289,0.87413697,0.867707124,0.751831503,0.87413697,I-MM,I-MF,,,
69,0.771099801,0.794283495,0.796458161,0.673788305,0.796458161,I-SE,I-MF,,,
70,0.771099801,0.794283495,0.796458161,0.673788305,0.796458161,I-SE,I-MF,,,
71,0.859763289,0.87413697,0.867707124,0.751831503,0.87413697,I-MM,I-MF,,,
72,0.899352789,0.91486022,0.916744685,0.806004271,0.916744685,I-SE,I-MF,,,
73,0.809337523,0.837134448,0.852580617,0.80815187,0.852580617,I-SE,I-MM,,,
74,0.81506839,0.849304807,0.85504298,0.735856778,0.85504298,I-SE,I-MM,,,
75,0.83480491,0.860245107,0.864189116,0.72994988,0.864189116,I-SE,I-MM,,,
76,0.83480491,0.860245107,0.864189116,0.72994988,0.864189116,I-SE,I-MM,,,
77,0.81506839,0.849304807,0.85504298,0.735856778,0.85504298,I-SE,I-MM,,,
78,0.809337523,0.837134448,0.852580617,0.80815187,0.852580617,I-SE,I-MM,,,
79,0.907974846,0.906099421,0.895221944,0.719232187,0.907974846,I-MF,I-MF,,,
80,0.954962395,0.940019746,0.931649849,0.761634922,0.954962395,I-MF,I-MF,,,
81,0.908508064,0.914517484,0.907811213,0.731253538,0.914517484,I-MM,I-MF,,,
82,0.908508064,0.914517484,0.907811213,0.731253538,0.914517484,I-MM,I-MF,,,
83,0.954962395,0.940019746,0.931649849,0.761634922,0.954962395,I-MF,I-MF,,,
84,0.907974846,0.906099421,0.895221944,0.719232187,0.907974846,I-MF,I-MF,,,
85,0.8521364,0.830759726,0.821893058,0.681530851,0.8521364,I-MF,I-SE,,,
86,0.725022188,0.747833627,0.762206248,0.710106367,0.762206248,I-SE,I-SE,,,
87,0.713709402,0.752847973,0.760993158,0.663618128,0.760993158,I-SE,I-SE,,,
88,0.713709402,0.752847973,0.760993158,0.663618128,0.760993158,I-SE,I-SE,,,
89,0.725022188,0.747833627,0.762206248,0.710106367,0.762206248,I-SE,I-SE,,,
90,0.8521364,0.830759726,0.821893058,0.681530851,0.8521364,I-MF,I-SE,,,
91,0.754022129,0.77945466,0.807037084,0.816430373,0.816430373,I-NE,I-SE,,,
92,0.744991846,0.727865734,0.705185134,0.550842279,0.744991846,I-MF,I-NE,,,
93,0.807698366,0.816944557,0.80445774,0.627955354,0.816944557,I-MM,I-NE,,,
94,0.807698366,0.816944557,0.80445774,0.627955354,0.816944557,I-MM,I-NE,,,
95,0.744991846,0.727865734,0.705185134,0.550842279,0.744991846,I-MF,I-NE,,,
96,0.754022129,0.77945466,0.807037084,0.816430373,0.816430373,I-NE,I-NE,,,
97,0.613790385,0.646446863,0.683275672,0.770360305,0.770360305,I-NE,I-SE,,,
98,0.87335523,0.861612476,0.856569008,0.721027518,0.87335523,I-MF,I-SE,,,
99,0.711398037,0.746435108,0.769916787,0.770225533,0.770225533,I-NE,I-SE,,,
100,0.711398037,0.746435108,0.769916787,0.770225533,0.770225533,I-NE,I-SE,,,
101,0.87335523,0.861612476,0.856569008,0.721027518,0.87335523,I-MF,I-SE,,,
102,0.613790385,0.646446863,0.683275672,0.770360305,0.770360305,I-NE,I-SE,,,
103,0.760242814,0.788103132,0.801930062,0.764371323,0.801930062,I-SE,I-SE,,,
104,0.876122258,0.873818232,0.855337263,0.656574841,0.876122258,I-MF,I-SE,,,
105,0.613551516,0.640135698,0.64657123,0.540654342,0.64657123,I-SE,I-MM,,,
106,0.613551516,0.640135698,0.64657123,0.540654342,0.64657123,I-SE,I-SE,,,
107,0.876122258,0.873818232,0.855337263,0.656574841,0.876122258,I-MF,I-SE,,,
108,0.760242814,0.788103132,0.801930062,0.764371323,0.801930062,I-SE,I-SE,,,
109,0.616116171,0.652090016,0.64880466,0.508942097,0.652090016,I-MM,I-SE,,,
110,0.691786634,0.71522105,0.718564798,0.62524959,0.718564798,I-SE,I-SE,,,
111,0.590692209,0.620538407,0.63565548,0.571961095,0.63565548,I-SE,I-MM,,,
112,0.590692209,0.620538407,0.63565548,0.571961095,0.63565548,I-SE,I-MM,,,
113,0.691786634,0.71522105,0.718564798,0.62524959,0.718564798,I-SE,I-SE,,,
114,0.616116171,0.652090016,0.64880466,0.508942097,0.652090016,I-MM,I-SE,,,
115,0.936454377,0.939544127,0.940448106,0.818712723,0.940448106,I-SE,I-MF,,,
116,0.896866098,0.906071778,0.896994782,0.73653819,0.906071778,I-MM,I-MF,,,
117,0.717140233,0.760806384,0.766073868,0.654890702,0.766073868,I-SE,I-MF,,,
118,0.717140233,0.760806384,0.766073868,0.654890702,0.766073868,I-SE,I-MF,,,
119,0.896866098,0.906071778,0.896994782,0.73653819,0.906071778,I-MM,I-MF,,,
120,0.936454377,0.939544127,0.940448106,0.818712723,0.940448106,I-SE,I-MF,,,
121,0.920688705,0.903663787,0.88811803,0.700566317,0.920688705,I-MF,I-MF,,,
122,0.896937312,0.902579411,0.886526086,0.695199408,0.902579411,I-MM,I-MF,,,
123,0.901832072,0.911943281,0.906541335,0.75296525,0.911943281,I-MM,I-MF,,,
124,0.901832072,0.911943281,0.906541335,0.75296525,0.911943281,I-MM,I-MF,,,
125,0.896937312,0.902579411,0.886526086,0.695199408,0.902579411,I-MM,I-MF,,,
126,0.920688705,0.903663787,0.88811803,0.700566317,0.920688705,I-MF,I-MF,,,
127,0.718569707,0.746246477,0.747243707,0.618588225,0.747243707,I-SE,I-MM,,,
128,0.716520553,0.732760974,0.729260357,0.595810759,0.732760974,I-MM,I-SE,,,
129,0.808008734,0.828442999,0.828982769,0.693308832,0.828982769,I-SE,I-SE,,,
130,0.808008734,0.828442999,0.828982769,0.693308832,0.828982769,I-SE,I-SE,,,
131,0.716520553,0.732760974,0.729260357,0.595810759,0.732760974,I-MM,I-SE,,,
132,0.718569707,0.746246477,0.747243707,0.618588225,0.747243707,I-SE,I-MM,,,
133,0.952010275,0.955480605,0.941257154,0.761740551,0.955480605,I-MM,I-MF,,,
134,0.893770858,0.89342425,0.891911682,0.764319246,0.893770858,I-MF,I-MF,,,
135,0.870603989,0.895321864,0.895813206,0.768043084,0.895813206,I-SE,I-MM,,,
136,0.870603989,0.895321864,0.895813206,0.768043084,0.895813206,I-SE,I-MM,,,
137,0.893770858,0.89342425,0.891911682,0.764319246,0.893770858,I-MF,I-MF,,,
138,0.952010275,0.955480605,0.941257154,0.761740551,0.955480605,I-MM,I-MF,,,
139,0.905066038,0.901982308,0.889472542,0.71174551,0.905066038,I-MF,I-MM,,,
140,0.849405133,0.855817628,0.845346388,0.669032087,0.855817628,I-MM,I-MM,,,
141,0.89398433,0.891824244,0.88391171,0.717159375,0.89398433,I-MF,I-MM,,,
142,0.89398433,0.891824244,0.88391171,0.717159375,0.89398433,I-MF,I-SE,,,
143,0.849405133,0.855817628,0.845346388,0.669032087,0.855817628,I-MM,I-MM,,,
144,0.905066038,0.901982308,0.889472542,0.71174551,0.905066038,I-MF,I-MM,,,
145,0.81033314,0.80367838,0.804385313,0.711777792,0.81033314,I-MF,I-MM,,,
146,0.849669727,0.813283943,0.795990655,0.623280162,0.849669727,I-MF,I-NE,,,
147,0.822596396,0.773815534,0.748836003,0.567546271,0.822596396,I-MF,I-MM,,,
148,0.822596396,0.773815534,0.748836003,0.567546271,0.822596396,I-MF,I-MM,,,
149,0.849669727,0.813283943,0.795990655,0.623280162,0.849669727,I-MF,I-NE,,,
150,0.81033314,0.80367838,0.804385313,0.711777792,0.81033314,I-MF,I-MM,,,
151,0.940217854,0.932620757,0.920945836,0.737864383,0.940217854,I-MF,I-MF,,,
152,0.93017191,0.92110663,0.902126577,0.695206457,0.93017191,I-MF,I-MM,,,
153,0.690538362,0.732423109,0.734825124,0.600602674,0.734825124,I-SE,I-MM,,,
154,0.690538362,0.732423109,0.734825124,0.600602674,0.734825124,I-SE,I-MM,,,
155,0.93017191,0.92110663,0.902126577,0.695206457,0.93017191,I-MF,I-MM,,,
156,0.940217854,0.932620757,0.920945836,0.737864383,0.940217854,I-MF,I-MF,,,
157,0.958403097,0.961421079,0.948131526,0.768602893,0.961421079,I-MM,I-MM,,,
158,0.935393019,0.928201751,0.910161506,0.714991403,0.935393019,I-MF,I-MF,,,
159,0.831638396,0.846471026,0.838740031,0.685968019,0.846471026,I-MM,I-MF,,,
160,0.831638396,0.846471026,0.838740031,0.685968019,0.846471026,I-MM,I-MM,,,
161,0.935393019,0.928201751,0.910161506,0.714991403,0.935393019,I-MF,I-MF,,,
162,0.958403097,0.961421079,0.948131526,0.768602893,0.961421079,I-MM,I-MF,,,
163,0.701109804,0.712762824,0.72411579,0.716058561,0.72411579,I-SE,I-SE,,,
164,0.878287338,0.889242021,0.879569208,0.697445362,0.889242021,I-MM,I-SE,,,
165,0.675121224,0.699044197,0.692135748,0.539617794,0.699044197,I-MM,I-SE,,,
166,0.675121224,0.699044197,0.692135748,0.539617794,0.699044197,I-MM,I-SE,,,
167,0.878287338,0.889242021,0.879569208,0.697445362,0.889242021,I-MM,I-SE,,,
168,0.701109804,0.712762824,0.72411579,0.716058561,0.72411579,I-SE,I-SE,,,
169,0.920040046,0.89475411,0.876038105,0.685762626,0.920040046,I-MF,I-MM,,,
170,0.876898684,0.88194499,0.86508687,0.680256953,0.88194499,I-MM,I-MM,,,
171,0.80497944,0.828261267,0.829320988,0.68301189,0.829320988,I-SE,I-MM,,,
172,0.80497944,0.828261267,0.829320988,0.68301189,0.829320988,I-SE,I-MM,,,
173,0.876898684,0.88194499,0.86508687,0.680256953,0.88194499,I-MM,I-MM,,,
174,0.920040046,0.89475411,0.876038105,0.685762626,0.920040046,I-MF,I-MM,,,
175,0.850031668,0.861744129,0.860944324,0.720674882,0.861744129,I-MM,I-MM,,,
176,0.805431358,0.8211504,0.807104702,0.649185159,0.8211504,I-MM,I-SE,,,
177,0.728376135,0.782918032,0.808107314,0.798319491,0.808107314,I-SE,I-MM,,,
178,0.728376135,0.782918032,0.808107314,0.798319491,0.808107314,I-SE,I-MM,,,
179,0.805431358,0.8211504,0.807104702,0.649185159,0.8211504,I-MM,I-MM,,,
180,0.850031668,0.861744129,0.860944324,0.720674882,0.861744129,I-MM,I-MM,,,
181,0.899147282,0.870177657,0.859831372,0.702785683,0.899147282,I-MF,I-MF,,,
182,0.896760093,0.907984063,0.914254798,0.857579172,0.914254798,I-SE,I-MF,,,
183,0.927136042,0.93884225,0.936952655,0.764710781,0.93884225,I-MM,I-MF,,,
184,0.927136042,0.93884225,0.936952655,0.764710781,0.93884225,I-MM,I-MF,,,
185,0.896760093,0.907984063,0.914254798,0.857579172,0.914254798,I-SE,I-MF,,,
186,0.899147282,0.870177657,0.859831372,0.702785683,0.899147282,I-MF,I-MF,,,
187,0.823030571,0.833766418,0.823990265,0.644381015,0.833766418,I-MM,I-MM,,,
188,0.921762547,0.898572808,0.877776774,0.692575056,0.921762547,I-MF,I-MM,,,
189,0.879166202,0.887724758,0.885647136,0.760991892,0.887724758,I-MM,I-MM,,,
190,0.879166202,0.887724758,0.885647136,0.760991892,0.887724758,I-MM,I-MM,,,
191,0.921762547,0.898572808,0.877776774,0.692575056,0.921762547,I-MF,I-MM,,,
192,0.823030571,0.833766418,0.823990265,0.644381015,0.833766418,I-MM,I-MM,,,
193,0.841485048,0.853571372,0.867304745,0.794438073,0.867304745,I-SE,I-MM,,,
194,0.870782926,0.863236346,0.86123863,0.749291221,0.870782926,I-MF,I-MM,,,
195,0.897939927,0.90516884,0.903821934,0.779545161,0.90516884,I-MM,I-MM,,,
196,0.897939927,0.90516884,0.903821934,0.779545161,0.90516884,I-MM,I-MM,,,
197,0.870782926,0.863236346,0.86123863,0.749291221,0.870782926,I-MF,I-MM,,,
198,0.841485048,0.853571372,0.867304745,0.794438073,0.867304745,I-SE,I-MM,,,
199,0.930300854,0.9236718,0.907485687,0.711522868,0.930300854,I-MF,I-MM,,,
200,0.911287177,0.898418645,0.88450732,0.717833725,0.911287177,I-MF,I-MM,,,
201,0.78043866,0.781704382,0.787418559,0.704794268,0.787418559,I-SE,I-SE,,,
202,0.78043866,0.781704382,0.787418559,0.704794268,0.787418559,I-SE,I-MM,,,
203,0.911287177,0.898418645,0.88450732,0.717833725,0.911287177,I-MF,I-MM,,,
204,0.930300854,0.9236718,0.907485687,0.711522868,0.930300854,I-MF,I-SE,,,
205,0.898497232,0.873580208,0.856222135,0.680894442,0.898497232,I-MF,I-MM,,,
206,0.90363703,0.891578528,0.874743606,0.689868311,0.90363703,I-MF,I-MM,,,
207,0.612042404,0.664105413,0.699165762,0.75208682,0.75208682,I-NE,I-MM,,,
208,0.612042404,0.664105413,0.699165762,0.75208682,0.75208682,I-NE,I-SE,,,
209,0.90363703,0.891578528,0.874743606,0.689868311,0.90363703,I-MF,I-MM,,,
210,0.898497232,0.873580208,0.856222135,0.680894442,0.898497232,I-MF,I-MM,,,
211,0.86617957,0.851122235,0.836983246,0.66173817,0.86617957,I-MF,I-MM,,,
212,0.89605214,0.918757894,0.928075953,0.840913494,0.928075953,I-SE,I-MM,,,
213,0.736411236,0.777135743,0.784633575,0.671722551,0.784633575,I-SE,I-SE,,,
214,0.736411236,0.777135743,0.784633575,0.671722551,0.784633575,I-SE,I-SE,,,
