no, distIMF, distIMM, distISE, distINE, maxSim, predicted, expected,,Overall,
1,0.444736861,0.486003228,0.441491726,0.270032367,0.486003228,I-MM,I-MF,,Correct,9642
2,0.51520012,0.576050081,0.52825597,0.321903872,0.576050081,I-MM,I-MM,,Total,19069
3,0.217278334,0.201754574,0.170388236,0.075857276,0.217278334,I-MF,I-MM,,Percentage,51%
4,0.217278334,0.201754574,0.170388236,0.075857276,0.217278334,I-MF,I-MM,,IMF,
5,0.51520012,0.576050081,0.52825597,0.321903872,0.576050081,I-MM,I-MF,,Correct,4763
6,0.444736861,0.486003228,0.441491726,0.270032367,0.486003228,I-MM,I-MM,,Total,7170
7,0.257973322,0.267746675,0.246260074,0.129705195,0.267746675,I-MM,I-SE,,Percentage,66%
8,0.409785827,0.492152336,0.457208212,0.288654199,0.492152336,I-MM,I-MM,,IMM,
9,0.361844404,0.388802093,0.367079599,0.22323506,0.388802093,I-MM,I-MM,,Correct,2592
10,0.361844404,0.388802093,0.367079599,0.22323506,0.388802093,I-MM,I-SE,,Total,5529
11,0.409785827,0.492152336,0.457208212,0.288654199,0.492152336,I-MM,I-MM,,Percentage,47%
12,0.257973322,0.267746675,0.246260074,0.129705195,0.267746675,I-MM,I-SE,,ISE,
13,0.565035299,0.590963525,0.54980585,0.348673166,0.590963525,I-MM,I-MF,,Correct,1011
14,0.594598222,0.566650212,0.510940931,0.322628363,0.594598222,I-MF,I-MF,,Total,4080
15,0.195521966,0.181652438,0.172871861,0.115044264,0.195521966,I-MF,I-SE,,Percentage,25%
16,0.195521966,0.181652438,0.172871861,0.115044264,0.195521966,I-MF,I-SE,,INE,
17,0.594598222,0.566650212,0.510940931,0.322628363,0.594598222,I-MF,I-MF,,Correct,1276
18,0.565035299,0.590963525,0.54980585,0.348673166,0.590963525,I-MM,I-MF,,Total,2290
19,0.422028921,0.527248593,0.496146441,0.304807049,0.527248593,I-MM,I-MM,,Percentage,56%
20,0.407870818,0.483341898,0.457393467,0.283646335,0.483341898,I-MM,I-MM,,,
21,0.221519292,0.251965988,0.252642673,0.141159398,0.252642673,I-SE,I-MM,,,
22,0.221519292,0.251965988,0.252642673,0.141159398,0.252642673,I-SE,I-MM,,,
23,0.407870818,0.483341898,0.457393467,0.283646335,0.483341898,I-MM,I-MM,,,
24,0.422028921,0.527248593,0.496146441,0.304807049,0.527248593,I-MM,I-MM,,,
25,0.48090268,0.524382695,0.493081569,0.327535371,0.524382695,I-MM,I-SE,,,
26,0.416434965,0.431246079,0.410175937,0.276635742,0.431246079,I-MM,I-SE,,,
27,0.174938144,0.197856608,0.189536591,0.111379816,0.197856608,I-MM,I-SE,,,
28,0.174938144,0.197856608,0.189536591,0.111379816,0.197856608,I-MM,I-SE,,,
29,0.416434965,0.431246079,0.410175937,0.276635742,0.431246079,I-MM,I-SE,,,
30,0.48090268,0.524382695,0.493081569,0.327535371,0.524382695,I-MM,I-SE,,,
31,0.444746965,0.477842019,0.405757802,0.230715885,0.477842019,I-MM,I-MM,,,
32,0.44138104,0.415782903,0.381641254,0.212878571,0.44138104,I-MF,I-MM,,,
33,0.418810118,0.439196866,0.42672673,0.244302827,0.439196866,I-MM,I-MM,,,
34,0.418810118,0.439196866,0.42672673,0.244302827,0.439196866,I-MM,I-MM,,,
35,0.44138104,0.415782903,0.381641254,0.212878571,0.44138104,I-MF,I-SE,,,
36,0.444746965,0.477842019,0.405757802,0.230715885,0.477842019,I-MM,I-MM,,,
37,0.614311429,0.638810406,0.559905166,0.334491059,0.638810406,I-MM,I-MF,,,
38,0.665568387,0.625857541,0.568399657,0.34553362,0.665568387,I-MF,I-MF,,,
39,0.478279509,0.478844189,0.455556393,0.270284856,0.478844189,I-MM,I-MF,,,
40,0.478279509,0.478844189,0.455556393,0.270284856,0.478844189,I-MM,I-MF,,,
41,0.665568387,0.625857541,0.568399657,0.34553362,0.665568387,I-MF,I-MF,,,
42,0.614311429,0.638810406,0.559905166,0.334491059,0.638810406,I-MM,I-MF,,,
43,0.143226621,0.160396669,0.151835267,0.089757605,0.160396669,I-MM,I-MM,,,
44,0.235069417,0.187642195,0.151740672,0.083640448,0.235069417,I-MF,I-MM,,,
45,0.07140795,0.070530434,0.060291969,0.026158725,0.07140795,I-MF,I-MM,,,
46,0.07140795,0.070530434,0.060291969,0.026158725,0.07140795,I-MF,I-MM,,,
47,0.235069417,0.187642195,0.151740672,0.083640448,0.235069417,I-MF,I-MM,,,
48,0.143226621,0.160396669,0.151835267,0.089757605,0.160396669,I-MM,I-MM,,,
49,0.361177254,0.346003319,0.31952439,0.18955406,0.361177254,I-MF,I-SE,,,
50,0.208240346,0.189810481,0.17009919,0.116373821,0.208240346,I-MF,I-NE,,,
51,0.354478397,0.339631572,0.309602143,0.166534475,0.354478397,I-MF,I-SE,,,
52,0.354478397,0.339631572,0.309602143,0.166534475,0.354478397,I-MF,I-SE,,,
53,0.208240346,0.189810481,0.17009919,0.116373821,0.208240346,I-MF,I-NE,,,
54,0.361177254,0.346003319,0.31952439,0.18955406,0.361177254,I-MF,I-SE,,,
55,0.400359858,0.448875054,0.427126248,0.264042901,0.448875054,I-MM,I-SE,,,
56,0.424178891,0.456162596,0.429823662,0.259426304,0.456162596,I-MM,I-MM,,,
57,0.310016865,0.330534343,0.320914633,0.176601486,0.330534343,I-MM,I-MM,,,
58,0.310016865,0.330534343,0.320914633,0.176601486,0.330534343,I-MM,I-MM,,,
59,0.424178891,0.456162596,0.429823662,0.259426304,0.456162596,I-MM,I-MM,,,
