,Username,Testid,Version,Response,Score
2934,A2891939,2095148.0,A2,<p>Te gusta Feliz Navidad.. Y tu?</p>,N-SE
2935,A2891939,2095148.0,A2,<p>El barrington en el piscina</p>,N-SE
2936,A2891939,2095148.0,A2,<p>Te gusta el marzo y abril.... </p>,N-SE
2943,A2891939,2095148.0,A2,<p>Te gusta el marzo y abril.... </p>,N-NE
2944,A2891939,2095148.0,A2,<p>El barrington en el piscina</p>,N-SE
2945,A2891939,2095148.0,A2,<p>Te gusta Feliz Navidad.. Y tu?</p>,N-SE
3720,A2904483,2107026.0,A2,"<p>Hola mi amigo. ¿Como está hoy? Mi favorita celebración es navidad. En mi familia, navidad es el celebración de Jésus. Mi familia y yo celebrar con actividads como mirar cine, ir la iglesia, y actividads con amigos. La navidad es muy espicial en mi familia, y navidad es muy importante en mi vida.    </p>",N-MF
3721,A2904483,2107026.0,A2,"<p>¿Hola, cómo estas? ¿Cómo esta tú famila? Mi favorita tiempo de el eyar es verano, porque no me gusta escula. Mi favorito actividad en el verano es trap y skeet. Mi padre, mi amigos, y yo le encanta la activadad trap y skeet. En el verano yo soy fantistico. Mi amigos y yo le encanta el verano, y mi family le encanta el verano a. Acqí en Tennessee, el climente es muy interensante. Hoy es una bueno hoy, y las personas en mi communidad gusta hoy. El virneir acqí en Tennessee es bien o asi asi. Los chicos le encanta el virneir porque los chicos no gusta escula, y le encanta hot cocoa. Hasta luego mi amiga.         </p>",N-MF
3722,A2904483,2107026.0,A2,"<p>¿Hola, cómo está usted? Mi llamo es Jordan, y vivo en Spring Hill. Spring Hill es una communidad de historia. Acqí en Spring Hill, personas gusta la comida en el resturantes en el centro de communidad, y el supermercados en la communidad. Spring Hill tiene cinco parques, y quatro muesos. La personas de Spring Hill le encanta el communidad. Hasta luego Señor.     </p>",N-MM
3729,A2904483,2107026.0,A2,"<p>¿Hola, cómo está usted? Mi llamo es Jordan, y vivo en Spring Hill. Spring Hill es una communidad de historia. Acqí en Spring Hill, personas gusta la comida en el resturantes en el centro de communidad, y el supermercados en la communidad. Spring Hill tiene cinco parques, y quatro muesos. La personas de Spring Hill le encanta el communidad. Hasta luego Señor.     </p>",N-MF
3730,A2904483,2107026.0,A2,"<p>¿Hola, cómo estas? ¿Cómo esta tú famila? Mi favorita tiempo de el eyar es verano, porque no me gusta escula. Mi favorito actividad en el verano es trap y skeet. Mi padre, mi amigos, y yo le encanta la activadad trap y skeet. En el verano yo soy fantistico. Mi amigos y yo le encanta el verano, y mi family le encanta el verano a. Acqí en Tennessee, el climente es muy interensante. Hoy es una bueno hoy, y las personas en mi communidad gusta hoy. El virneir acqí en Tennessee es bien o asi asi. Los chicos le encanta el virneir porque los chicos no gusta escula, y le encanta hot cocoa. Hasta luego mi amiga.         </p>",N-MF
3731,A2904483,2107026.0,A2,"<p>Hola mi amigo. ¿Como está hoy? Mi favorita celebración es navidad. En mi familia, navidad es el celebración de Jésus. Mi familia y yo celebrar con actividads como mirar cine, ir la iglesia, y actividads con amigos. La navidad es muy espicial en mi familia, y navidad es muy importante en mi vida.    </p>",N-MF
4044,A2906528,2109062.0,A2,"<p>Hola, </p><p><br></p><p>Me llamo Carson, Mi familia y mi favorita holiday es thanksgivioso. Mi familiia es muy importante es thankgivioso. i familia comer en la residenca. Tambien mi familia bebers eggnog y mayonesa. </p>",N-MM
4045,A2906528,2109062.0,A2,"<p>Hola, </p><p><br></p><p>Me llamo Carson, yo soy de nolensville y yo tengo diecisiete. En nolensville Sonic es muy divertido con mis amigos y Sonic es muy delicioso. Chic fil a es muy divertido con mi familia. Starbucks es tambien muy divertido, bebers en starbucks es muy delicioso y studioso con mi amigos la escuela. </p>",N-MF
4046,A2906528,2109062.0,A2,"<p>Hola, me llamo Carson, yo soy de colorado y tengo diecisiete.  yo soy mirar al futbol americano y soy la playa jugar al futbol americano con mis amigos y mi hermano afuerta del sol.  </p>",N-MF
4053,A2906528,2109062.0,A2,"<p>Hola, me llamo Carson, yo soy de colorado y tengo diecisiete.  yo soy mirar al futbol americano y soy la playa jugar al futbol americano con mis amigos y mi hermano afuerta del sol.  </p>",N-MM
4054,A2906528,2109062.0,A2,"<p>Hola, </p><p><br></p><p>Me llamo Carson, yo soy de nolensville y yo tengo diecisiete. En nolensville Sonic es muy divertido con mis amigos y Sonic es muy delicioso. Chic fil a es muy divertido con mi familia. Starbucks es tambien muy divertido, bebers en starbucks es muy delicioso y studioso con mi amigos la escuela. </p>",N-MF
4055,A2906528,2109062.0,A2,"<p>Hola, </p><p><br></p><p>Me llamo Carson, Mi familia y mi favorita holiday es thanksgivioso. Mi familiia es muy importante es thankgivioso. i familia comer en la residenca. Tambien mi familia bebers eggnog y mayonesa. </p>",N-NE
5808,A2965154,2164749.0,A2,<p>Mi vacaciones favorito es christmas. Por que yo tengo mucho presentes y mucho pastel es muy delicioso. Mi familia holds un excellente fiesta y un fiesta es muy divertodo. Mi familia jugar white elephant. Nosotros tenemos muchos presentes. </p>,N-MF
5809,A2965154,2164749.0,A2,<p>Hola professor! Bienvenido de Utah! </p><p>Como estas? Yo soy excellente! Draper tener montar en bici en los montanas y mucho bien resturauntes. El resturaunte es muy excellente por que la comida es muy bien. Draper tener la parque de historia es muy significa para Draper. El restuaraunte que es muy excellente es IN-N-OUT burger. </p><p>Asta manana</p><p>Jagger Wignall</p>,N-MF
5812,A2965154,2164749.0,A2,<p>Hola pal! Como estas? Yo soy in Utah. <br></p><p>En verano hace mucho calor y calor. A mi familia le gusta ir a nadar y refrescarse cuando hace calor. En el verano salimos con amigos el tiempo. En verano es mi favorita temporado. </p><p>En otono no es para calentar sino para enfriar. Nos gusta construir pilas do hojas y saltar en ellas. El clima es muy humideo y mojado. Nos gusta ir a tallar calabazas. Es mi tercera temporada favorita. </p><p>En invierno es muy hace frio. Es mi temporada menos favorita porque es construir un snowman. Mi familia nos gusta esquiar en los montanas. </p><p>En primavera el tiempo esta soliado y a veces nublado. Pero el tiempo es excellente cuando el sol es en la sky. </p>,N-MF
5815,A2965154,2164749.0,A2,<p>Hola pal! Como estas? Yo soy in Utah. <br></p><p>En verano hace mucho calor y calor. A mi familia le gusta ir a nadar y refrescarse cuando hace calor. En el verano salimos con amigos el tiempo. En verano es mi favorita temporado. </p><p>En otono no es para calentar sino para enfriar. Nos gusta construir pilas do hojas y saltar en ellas. El clima es muy humideo y mojado. Nos gusta ir a tallar calabazas. Es mi tercera temporada favorita. </p><p>En invierno es muy hace frio. Es mi temporada menos favorita porque es construir un snowman. Mi familia nos gusta esquiar en los montanas. </p><p>En primavera el tiempo esta soliado y a veces nublado. Pero el tiempo es excellente cuando el sol es en la sky. </p>,N-MF
5818,A2965154,2164749.0,A2,<p>Hola professor! Bienvenido de Utah! </p><p>Como estas? Yo soy excellente! Draper tener montar en bici en los montanas y mucho bien resturauntes. El resturaunte es muy excellente por que la comida es muy bien. Draper tener la parque de historia es muy significa para Draper. El restuaraunte que es muy excellente es IN-N-OUT burger. </p><p>Asta manana</p><p>Jagger Wignall</p>,N-MF
5819,A2965154,2164749.0,A2,<p>Mi vacaciones favorito es christmas. Por que yo tengo mucho presentes y mucho pastel es muy delicioso. Mi familia holds un excellente fiesta y un fiesta es muy divertodo. Mi familia jugar white elephant. Nosotros tenemos muchos presentes. </p>,N-MM
7020,A3003663,2201472.0,A2,"<p>Mi favorito es mí cumpleaños, Yo muy supresas para mí cumpleaños. La invitaste mí casa, mis amigos y familia. </p>",N-MF
7021,A3003663,2201472.0,A2,<p>Mí favortio en Dubuque es Mississippi River. Mi familia y yo enjoy muy actividads en Mississippi River. Mississippi RIver es muy bonito. </p>,N-MF
7025,A3003663,2201472.0,A2,"<p>Yo favrito tiempo hace hoy es hace sol. Yo bueno hace hoy. Yo correr en hace sol. No bueno hace frío, hace viento, hace mal tiempo, nieva, y llueve.</p>",N-MF
7026,A3003663,2201472.0,A2,"<p>Yo favrito tiempo hace hoy es hace sol. Yo bueno hace hoy. Yo correr en hace sol. No bueno hace frío, hace viento, hace mal tiempo, nieva, y llueve.</p>",N-MF
7030,A3003663,2201472.0,A2,<p>Mí favortio en Dubuque es Mississippi River. Mi familia y yo enjoy muy actividads en Mississippi River. Mississippi RIver es muy bonito. </p>,N-MF
7031,A3003663,2201472.0,A2,"<p>Mi favorito es mí cumpleaños, Yo muy supresas para mí cumpleaños. La invitaste mí casa, mis amigos y familia. </p>",N-MF
7321,A3018596,2215643.0,A1,"<p>¡Hola! <br></p><p>Me llamo Saahib. me state es Texas. Texas tiene a Allamo en San Antonio y un beach en Galvestin. Me favorito place es Dallas.</p><p>Tu Amigo,</p><p>Saahib</p>",N-MF
7323,A3018596,2215643.0,A1,"<p>¡Hola! <br></p><p>Hola me llamo es Saahib. Me familia es muy divertido y feliz todos los días. Me casa es muy grande. Me mama es 43 años y me papa es 44 años. yo es 9 años.</p><p>Tu amigo,</p><p>Saahib</p>",N-MF
7324,A3018596,2215643.0,A1,<p>¡Hola! <br></p><p>Me favorito es primavero. porque en primavero es muy caliente. me favorito activity en primavero es golf y fútbol.</p>,N-MF
7327,A3018596,2215643.0,A1,<p>¡Hola! <br></p><p>Me favorito es primavero. porque en primavero es muy caliente. me favorito activity en primavero es golf y fútbol.</p>,N-MF
7328,A3018596,2215643.0,A1,"<p>¡Hola! <br></p><p>Hola me llamo es Saahib. Me familia es muy divertido y feliz todos los días. Me casa es muy grande. Me mama es 43 años y me papa es 44 años. yo es 9 años.</p><p>Tu amigo,</p><p>Saahib</p>",N-MF
7330,A3018596,2215643.0,A1,"<p>¡Hola! <br></p><p>Me llamo Saahib. me state es Texas. Texas tiene a Allamo en San Antonio y un beach en Galvestin. Me favorito place es Dallas.</p><p>Tu Amigo,</p><p>Saahib</p>",N-MM
8802,A3083714,2278070.0,A2,"<p>Hola, Yo favorito holiday es christmas por que mi familia es feliz. Vamos a la playa y ir a iglesa. </p>",N-NE
8803,A3083714,2278070.0,A2,"<p>Hola Senor, en Guam nostros hace ir a la playas, ir a monumentos y excersion encima Guam. </p>",N-MM
8806,A3083714,2278070.0,A2,"<p>Hola, me gusta primavera. En primavra me gusta jugar deportes y montar bycletas. Yo amo primaver por que esta es calor. </p>",N-MF
