no, distIMF, distIMM, distISE, distINE, maxSim, predicted, expected,,Overall,
1,0.116131495,0.140727177,0.129496676,0.076523846,0.140727177,I-MM,I-MF,,Correct,11945
2,0.147034021,0.174729175,0.160043024,0.092917198,0.174729175,I-MM,I-MM,,Total,19069
3,0.088972652,0.108467399,0.09706744,0.039280393,0.108467399,I-MM,I-MM,,Percentage,63%
4,0.088972652,0.108467399,0.09706744,0.039280393,0.108467399,I-MM,I-MM,,IMF,
5,0.147034021,0.174729175,0.160043024,0.092917198,0.174729175,I-MM,I-MF,,Correct,5306
6,0.116131495,0.140727177,0.129496676,0.076523846,0.140727177,I-MM,I-MM,,Total,7170
7,0.070939206,0.080103607,0.083070617,0.038764441,0.083070617,I-SE,I-SE,,Percentage,74%
8,0.10455853,0.134952117,0.120460989,0.079418093,0.134952117,I-MM,I-MM,,IMM,
9,0.080111255,0.088829121,0.092444282,0.056108649,0.092444282,I-SE,I-MM,,Correct,2787
10,0.080111255,0.088829121,0.092444282,0.056108649,0.092444282,I-SE,I-SE,,Total,5529
11,0.10455853,0.134952117,0.120460989,0.079418093,0.134952117,I-MM,I-MM,,Percentage,50%
12,0.070939206,0.080103607,0.083070617,0.038764441,0.083070617,I-SE,I-SE,,ISE,
13,0.152084045,0.151793472,0.138728424,0.087033291,0.152084045,I-MF,I-MF,,Correct,2711
14,0.177270262,0.16857646,0.150789094,0.092469362,0.177270262,I-MF,I-MF,,Total,4080
15,0.054782573,0.051348476,0.05630909,0.032998339,0.05630909,I-SE,I-SE,,Percentage,66%
16,0.054782573,0.051348476,0.05630909,0.032998339,0.05630909,I-SE,I-SE,,INE,
17,0.177270262,0.16857646,0.150789094,0.092469362,0.177270262,I-MF,I-MF,,Correct,1141
18,0.152084045,0.151793472,0.138728424,0.087033291,0.152084045,I-MF,I-MF,,Total,2290
19,0.11648795,0.159635903,0.143268477,0.082017291,0.159635903,I-MM,I-MM,,Percentage,50%
20,0.115744382,0.152232801,0.149527506,0.092486422,0.152232801,I-MM,I-MM,,,
21,0.069328647,0.080165604,0.082163962,0.039836684,0.082163962,I-SE,I-MM,,,
