Username,Gender,Grade,Grade Level,Year of study,Type of instruction,Relationship to language,Rating position,Testid,Test date,Version,FinalRating,R1,Rater1,R2,Rater2,R3,Rater3,R4,Rater4,Score,Topic,Prompt,Response,Totaltime,POS
A3352333,Male,12,Secondary / High School,6,Traditional classroom,Foreign Language,1,2498334,9/21/19 9:37,B2,A,A,3888,A,3545,nan,nan,nan,nan,A-MF,LANGUAGE ARTS,An international student who is coming to your school would like to know what movies and tv shows students in your school like.Youâve been asked to post a blog on your schoolâs website about a movie or television show you recently saw. Make sure your blog post has several paragraphs in which you: 1. Summarize the plot. Make sure you give enough detail that the student will be able to decide if he/she wants to watch the movie or show.2. Describe one of the characters in detail. What makes that person an interesting character?3. Explain what you liked about the movie/ show and what you think could be better. Help the international student decide if this movie/show is worth seeing or not.,"<p>Breaking Bad es uno de los programas mejores en el mundo. Habla de un maestro de quÃ­mica en un escuela segundaria que aprende que tiene cancer y no tiene mucho tiempo para vivir. Ãl se llama Walter White. El decide que como no tiene mucho dinero y su esposa tambien no tiene mucho dinero el necesito ganar mucho en el resto del tiempo que tiene en nuestro mundo para poder poner su hijo y hija el la universidad. Despues de pasar undia con su sobrino quÃ­en trabaja como policia decide que cocinar drogas es la manera que va a ganar el mÃ¡s posible. No sabÃ­a todo el peligro y los desafios que viene con este trabajo. </p><p>Walter White era un hombre muy orgulloso de su familia. Tambien se siente responsable por todo el mal que viene a su familia. Por ese motivo decidiÃ³ completamente cambiar su personalidad despues de que aprendiÃ³ que tenÃ­a el cancer. El hizo el opuesto de sus valores cuando empecÃ© a concinar y vender drogas. La decadencia de Walter White, luego Heisenberg, era en efecto.</p><p>A mi megustaba la violencia y tambien la cuenta de una decadencia muy inprobable. Ver un peronaje cambiar durante el curso de cinco temporadas es muy interesante para mi. Yo pienso que el fin del programa no hizo justicÃ­a al personaje y que necesitÃ³ ser un poco mas grande. </p>",37,PROPN PROPN VERB PRON ADP DET NOUN ADJ ADP DET NOUN PUNCT VERB ADP DET NOUN ADP X ADP DET NOUN ADJ SCONJ VERB SCONJ VERB PROPN CONJ ADV VERB DET NOUN ADP VERB PUNCT X X X PRON VERB PROPN PROPN PUNCT DET VERB SCONJ SCONJ ADV VERB DET NOUN CONJ DET NOUN ADV ADV VERB DET NOUN DET VERB VERB ADV ADP DET NOUN ADP DET NOUN SCONJ VERB ADP DET NOUN ADP AUX VERB DET NOUN CONJ NOUN DET DET NOUN PUNCT ADV ADP VERB NOUN ADP DET NOUN PROPN VERB ADP NOUN VERB SCONJ VERB NOUN AUX DET NOUN SCONJ AUX ADP VERB DET NOUN PUNCT X ADJ PUNCT ADV PROPN DET DET NOUN CONJ DET NOUN PRON VERB ADP DET NOUN PUNCT PROPN PROPN VERB DET NOUN ADV ADJ ADP DET NOUN PUNCT ADV PRON VERB ADJ ADP DET DET NOUN SCONJ VERB ADP DET NOUN PUNCT ADP DET NOUN X X ADV VERB DET NOUN ADV ADP CONJ X X X X DET PROPN PUNCT DET VERB DET ADJ ADP DET NOUN PRON AUX VERB ADP VERB CONJ VERB NOUN PUNCT DET NOUN ADP PROPN PROPN PUNCT ADV PROPN PUNCT VERB ADP NOUN PUNCT DET DET VERB DET NOUN CONJ ADV DET NOUN ADP DET NOUN ADV ADJ PUNCT VERB DET NOUN VERB ADP DET NOUN ADP NUM NOUN AUX ADV ADJ ADP PRON PUNCT PRON VERB SCONJ DET NOUN ADP DET NOUN ADV VERB NOUN ADP DET NOUN CONJ CONJ X X VERB DET PRON ADV ADJ PUNCT
A3352333,Male,12,Secondary / High School,6,Traditional classroom,Foreign Language,1,2498334,9/21/19 9:37,B2,A,A,3888,A,3545,nan,nan,nan,nan,A-MF,EDUCATION,The students in your partner school in Madrid want to learn more about the education system in your community.Write an email of several paragraphs in length that explains the school system where you live.1. Tell a story about something that happened in your school system. This could be something you or someone you know experienced.2. Describe other schooling options that are available in your community.3. Make sure to explain the pros and the cons of the different schooling options in your community.,"<p>Hola! Yo estoy en una escuela publica. Significa que recibe dinero del gobierno cuando pagamos impuestos. Tambien quiere decir que muchas veces no tienen el dinero que necesitan porque hay tantas escualas publicas. Por ejemplo, en mi escuela, el aÃ±o pasado, la escuela necestÃ³ miliones de dolares para pagaer por varias coasa como seguridad adicional y un nuevo campo de fÃºtbol americano y para reparar varios lugares de la escuela que era contruida en 1950. El problema es que los residentes de mi comunidad no querÃ­an pagar mÃ¡s impuestos. Por ese motivo la escuela decidiÃ³ cancelar el programa de fÃºtbol americano hasta que tuviera el dinero. Fortunadamente los residentes decidieron pagar mÃ¡s impuesots y ahora tenemos un equipo. </p><p>Tambien hay escuelas privadas. Ellos no tienen los mismos problemas que escuelas publicas porque reciben dinero de varios lugares como los padres de los estudiantes porque cuesta miles de dolares para asistir a unas de estas escuelas. </p><p>La escuela publica tiene sus desafios por el dinero pero es importante tener en cuenta que puedes ir a la escuela con los residentes de tu comunidad. La escuela pricada no tiene problemas de dinero pero tambien a veces son lejos de donde vives, cuestan mucho dinero, y no puedes ir a la escuela con sus amigos</p>",37,PART PUNCT PRON VERB ADP DET NOUN VERB PUNCT VERB SCONJ VERB NOUN ADP DET NOUN PRON VERB NOUN PUNCT ADV VERB NOUN SCONJ DET NOUN ADV VERB DET NOUN SCONJ VERB SCONJ VERB DET ADJ NOUN PUNCT ADP NOUN PUNCT ADP DET NOUN PUNCT DET NOUN NOUN CONJ NOUN PUNCT DET NOUN X X X ADP NOUN ADP NOUN ADP DET NOUN ADP NOUN ADJ CONJ DET ADJ NOUN ADP NOUN ADJ CONJ SCONJ VERB DET NOUN ADP DET NOUN SCONJ AUX VERB ADP NUM PUNCT DET NOUN AUX SCONJ DET NOUN ADP DET NOUN ADV X VERB NOUN PUNCT X NOUN PUNCT ADP DET NOUN DET NOUN X X VERB DET NOUN ADP NOUN ADJ ADP SCONJ VERB DET NOUN PUNCT ADV DET NOUN VERB VERB NOUN PUNCT X ADJ CONJ ADV VERB DET NOUN PUNCT ADV AUX NOUN ADJ PUNCT PRON ADV VERB DET DET NOUN PRON NOUN NOUN SCONJ VERB NOUN ADP DET NOUN SCONJ DET NOUN ADP DET NOUN SCONJ VERB NUM ADP NOUN ADP VERB ADP PRON ADP DET NOUN PUNCT DET NOUN VERB VERB DET NOUN ADP DET NOUN CONJ VERB ADJ VERB ADP NOUN SCONJ AUX VERB ADP DET NOUN ADP DET NOUN ADP DET NOUN PUNCT DET NOUN ADJ ADV VERB NOUN ADP NOUN CONJ ADV ADP NOUN VERB ADV ADP ADV VERB PUNCT VERB DET NOUN PUNCT CONJ ADV AUX AUX ADP DET NOUN ADP DET NOUN
A3352333,Male,12,Secondary / High School,6,Traditional classroom,Foreign Language,1,2498334,9/21/19 9:37,B2,A,A,3888,A,3545,nan,nan,nan,nan,A-MF,ENVIRONMENT,"Your pen pal in Spain has written an email to you. In her email, she described some of the changes her school is making to be more environmentally friendly. She wants to know what your school does to be green. Write an email, several paragraphs in length, in which you describe programs or initiatives in your school that promote taking care of our planet. Be sure to describe in detail the following:1. What your school and student groups have done in the past.2. What you and your school are currently doing.3. What you think you and your school could do better in the future.",<p>En el pasado mi escuela ha hecho muchas dias sin luces para conservar la energÃ­a en nuesrto mundo. Tambien hemos hecho varios dias del mundo donde hicimos varios actos que ayudan a la planeta.</p><p>Hoy tenemos un gran enfoque en cada clase de reciclar. Cada clase tiene el reciclaje ademas de la basura. Una orta cosa que hemos hecho es usar computadors para aprender. Es importante porque en el proceso no usamos mucho papel. </p><p>Pienso que podemos tratar de enforcarnos mas en la educaciÃ³n de los peligros de la poluciÃ³n y como resolver el problema para que los estudiantes sepan mÃ¡s y puedan hacer mÃ¡s para resolver el problema. </p>,37,ADP DET NOUN DET NOUN AUX VERB DET NOUN ADP NOUN ADP VERB DET NOUN ADP ADJ NOUN PUNCT ADV AUX VERB DET NOUN ADP DET NOUN ADV VERB DET NOUN PRON VERB ADP DET NOUN PUNCT ADV VERB DET ADJ NOUN ADP DET NOUN ADP VERB PUNCT DET NOUN VERB DET NOUN ADV ADP DET NOUN PUNCT DET NOUN NOUN PRON AUX VERB AUX AUX NOUN ADP VERB PUNCT AUX ADJ SCONJ ADP DET NOUN ADV VERB DET NOUN PUNCT VERB SCONJ AUX VERB ADP NOUN ADV ADP DET X X X X DET NOUN ADP DET X X X CONJ SCONJ VERB DET NOUN ADP SCONJ DET NOUN VERB NOUN PUNCT X CONJ VERB VERB NOUN PUNCT X ADP VERB DET NOUN PUNCT
A3468336,Female,11,Secondary / High School,Unknown,Heritage learner,Heritage Language,1,2604618,10/23/19 9:52,A2,I4,I4,3888,I4,3389,nan,nan,nan,nan,I-MF,TRAVEL,"For your Spanish class, you are preparing a short report on travel.  Your teacher asks you to write about the following topic below for your report. Going on vacation is so much fun, but getting there isnât always easy.  Describe some different ways you can get to a vacation destination.  Then, describe what is positive or negative about each way to travel.","<p>Hay un dicho que dice "" no importa como empesaste, lo que importa es como terminaste"", pero cuando tiene que ver con unas vacaciones, ese dicho no es valido. Despues que uno llega a su destinacion, la vida se le hace mas facil a uno, pero lo que se hace dificil es buscar como llegar y como uno puede pargar lo meos possiblÃ©. Pero , por eso estoy aqui ahora, para alludarles a ustedes.<br></p><p>Si alguien sabe de buscar la forma mas barata y facil soy yo. Cuando tu estas buscando viajes hay que pensar en lo que se hace mas facil para usted. Por ejemplo, uno puede ir por avion o por carretera. En realidad depende en lo que se te hace mas facil.</p>",33,VERB DET NOUN SCONJ VERB PUNCT ADV VERB SCONJ NOUN PUNCT DET PRON VERB AUX SCONJ VERB PUNCT PUNCT CONJ SCONJ VERB SCONJ VERB ADP DET NOUN PUNCT DET ADJ NOUN AUX VERB PUNCT ADV SCONJ PRON VERB ADP DET NOUN PUNCT DET NOUN PRON PRON VERB ADV ADJ ADP PRON PUNCT CONJ PRON SCONJ PRON VERB ADJ AUX VERB SCONJ VERB CONJ ADP PRON AUX VERB DET NOUN PROPN PROPN PUNCT CONJ PUNCT ADP PRON VERB ADV ADV PUNCT ADP _ ADP PRON PUNCT INTJ INTJ PUNCT SCONJ PRON VERB ADP VERB DET NOUN ADV ADJ CONJ ADJ VERB PRON PUNCT SCONJ DET AUX VERB NOUN VERB SCONJ VERB ADP DET PRON PRON VERB ADV ADJ ADP PRON PUNCT ADP NOUN PUNCT PRON AUX VERB ADP NOUN CONJ ADP NOUN PUNCT ADP NOUN VERB ADP DET PRON PRON PRON VERB ADV ADJ PUNCT
A3468336,Female,11,Secondary / High School,Unknown,Heritage learner,Heritage Language,1,2604618,10/23/19 9:52,A2,I4,I4,3888,I4,3389,nan,nan,nan,nan,I-MF,THEATER,"The theater club at your school is putting on a play that will be streamed online. Your pen pal from Seville wants to know more about your event.Write an email telling him/her about the performance. Include important information about the show, such as when, where, and how to see it, as well as a brief description of what the show is about.","<p>Hola,</p><p>Vi que estabas enteresado en la presentacion hoy en el theatro.  El programa empieza a las 6 de la tarde, y lo puede ver atraves de el website de la escuela.  Tambien va esta en vivo por Youtube si te gusteria ver lo por aÃ­. El Programa seria un musical de una nina que esta caminando atra ves de un camino amarillo. Seria muy bieno tener tu presencia aqui, pero por internet va estar tambien. No te lo pierdas.</p>",33,PART PUNCT VERB SCONJ AUX VERB ADP DET NOUN ADV ADP DET NOUN PUNCT DET PROPN VERB ADP DET NUM ADP DET NOUN PUNCT CONJ PRON AUX VERB PROPN ADP DET X ADP DET NOUN PUNCT ADV VERB VERB ADP NOUN ADP PROPN SCONJ PRON VERB VERB PRON ADP NOUN PUNCT DET PROPN VERB DET NOUN ADP DET NOUN SCONJ AUX VERB VERB VERB ADP DET NOUN ADJ PUNCT VERB ADV X VERB DET NOUN ADV PUNCT CONJ ADP NOUN VERB AUX ADV PUNCT ADV PRON PRON VERB PUNCT
A3468336,Female,11,Secondary / High School,Unknown,Heritage learner,Heritage Language,1,2604618,10/23/19 9:52,A2,I4,I4,3888,I4,3389,nan,nan,nan,nan,I-MF,POP_CULTURE,"Your pen pal from Barcelona wrote you a letter and describes the toy, ""Fidget Spinner,"" that is very popular in her school at the moment. It is very distracting, but everyone loves it. She asked you to tell her about something that is very popular in your school or community right now.Write an email in Spanish to your pen pal and describe something that is very popular in your school or community at the moment. Describe it with as much detail as you can and explain why you think it is so popular.","<p>Algo en mi escuela que es bien popular es el footbal Americano. Es un deporte donde uno tira una pelota y los dos equipos intentan a llegarlo al otro lado de el esenario. A mi no me gusta , pero en mi escuela siempre lo viven anunciando. Creo que tiene quer ver con la majoria de nacionalidad que hay en mi esucela.  </p>",33,PRON ADP DET NOUN SCONJ VERB ADV ADJ AUX DET NOUN ADJ PUNCT AUX DET NOUN PRON PRON VERB DET NOUN CONJ DET NUM NOUN VERB ADP VERB PRON ADP DET DET NOUN ADP DET ADJ PUNCT ADP PRON ADV PRON VERB PUNCT CONJ ADP DET NOUN ADV PRON VERB AUX PUNCT VERB SCONJ VERB VERB VERB ADP DET NOUN ADP NOUN SCONJ VERB ADP DET NOUN PUNCT
B3326640,Male,9,Secondary / High School,Unknown,Heritage learner,Heritage Language,1,2479815,8/23/19 12:23,B2,I4,I4,3947,I4,3389,nan,nan,nan,nan,I-MM,COMMUNICATIONS,"Your pen pal wrote to you and wants to learn more about the culture of teens in your community. She wants to know how they communicate with each other. She asked if students use technology to stay in touch with their friends and what kind of online activities, websites, and apps are popular with kids in your school and community.Write an email of several sentences that explains how teens in your community communicate and stay in touch with each other. Also explain which online activities, websites, and apps are popular at your school and with your friends. Also tell her about what kinds of online activities websites and apps are not popular. Use as much description as possible.","<p>PERSONAS EN MI comunidad la unica manera para comunicarnos es textiando o yamando porque luego podemos ablar the cosas como jugar o planiar  cuando bamos a jugar,no uso nada mas cosas para contactar a mis amigos. </p>",54,NOUN ADP DET NOUN DET NOUN NOUN ADP VERB PRON AUX VERB CONJ VERB SCONJ ADV AUX VERB DET NOUN ADP VERB CONJ VERB SCONJ VERB ADP VERB PUNCT ADV NOUN PRON ADV NOUN ADP VERB ADP DET NOUN PUNCT
B3326640,Male,9,Secondary / High School,Unknown,Heritage learner,Heritage Language,1,2479815,8/23/19 12:23,B2,I4,I4,3947,I4,3389,nan,nan,nan,nan,A-NE,EDUCATION,The students in your partner school in Madrid want to learn more about the education system in your community.Write an email of several paragraphs in length that explains the school system where you live.1. Tell a story about something that happened in your school system. This could be something you or someone you know experienced.2. Describe other schooling options that are available in your community.3. Make sure to explain the pros and the cons of the different schooling options in your community.,"<p>no abia nada con el sis tema de la escuela,ai diferentes programas de actividades despues des cuela.</p>",54,ADV VERB PRON ADP DET NOUN NOUN ADP DET NOUN PUNCT X DET NOUN ADP NOUN ADV ADP VERB PUNCT
B3326640,Male,9,Secondary / High School,Unknown,Heritage learner,Heritage Language,1,2479815,8/23/19 12:23,B2,I4,I4,3947,I4,3389,nan,nan,nan,nan,A-NE,ENVIRONMENT,"Your pen pal in Spain has written an email to you. In her email, she described some of the changes her school is making to be more environmentally friendly. She wants to know what your school does to be green. Write an email, several paragraphs in length, in which you describe programs or initiatives in your school that promote taking care of our planet. Be sure to describe in detail the following:1. What your school and student groups have done in the past.2. What you and your school are currently doing.3. What you think you and your school could do better in the future.","<p>YO I LA ESCUELA A EMOS IDO A LUGARES DE DIBERSION PARA QUE NO SELO NOS QUE DEMOS EN LA ESUELA ASIENDO TRABAJOS,ORITA LA ESCUELA NOS ESTA ASIENDO ASER UN EXAMEN PARA SABER QUANTO SABEMOS DE ESPAÃOL,QUE TENGAN PAS PASION PARA LOS ESTUDIANTES TENGAN MAS DIBERSION CON EllOS.</p>",54,PRON NUM DET PROPN ADP PROPN PROPN ADP PROPN ADP VERB ADP PRON ADV PROPN PROPN PRON NOUN ADP DET PROPN PROPN PROPN PUNCT PROPN DET PROPN PROPN DET ADJ PROPN DET ADJ ADP PROPN PRON PROPN ADP PROPN PUNCT PRON ADJ PROPN NOUN ADP DET NOUN ADJ ADV VERB ADP PROPN PUNCT
B3326640,Male,9,Secondary / High School,Unknown,Heritage learner,Heritage Language,1,2479815,8/23/19 12:23,B2,I4,I4,3947,I4,3389,nan,nan,nan,nan,I-MF,ANIMALS,"National wild animal week is approaching. Your Spanish language class is learning about zoos in Mexico City.Write a blog post in which you describe zoos, state what people do at zoos, and explain whether or not you like zoos and why.","<p>EL ZOOZ ES UN LUGAR ONDE PERSONAS PUEDEN IR I MIRAR I APRENDER,  COMO LOS ANIMASE SE MIRAN COMO ACTUAN PERO LA PARTE MAS INTERESANTE ES QUE ALGUNOS ANIMALES LOS PUEDEN AGARAR I NOTE BAN A MORDER ,COMO LOS PAJAROS ES UNA EXPERIENSIA QUE NUNCA  PUEDAS TENER. A MI NO ME GUSTAN LOS ZOOS PORQUE NO ME GUSTA IR A UNLADO DONDE NO ESTAN MIS AMIGOS PORQUE SI YO ESTOY CON EYOS ME SIENTO BIEN PORQUE DISEMOS CHISTES.</p>",54,DET PROPN PROPN DET PROPN ADV PROPN PROPN VERB CONJ PROPN CONJ PROPN PUNCT PROPN DET ADJ PRON ADJ PROPN VERB X DET NOUN ADV ADJ AUX PRON DET ADJ DET ADJ PROPN PROPN PROPN PROPN ADP PROPN PUNCT PROPN DET NOUN AUX DET NOUN PRON ADV ADP ADJ PUNCT DET DET ADV PRON VERB DET PROPN PROPN ADV ADV VERB VERB ADP PROPN ADV ADV AUX ADJ ADJ AUX SCONJ PRON VERB ADP DET PRON VERB ADV PROPN VERB PROPN PUNCT
