,Username,Testid,Version,Response,Score
60,A1985568,1285888.0,A2,"Mi favorito clase es mathmaticas, por que facil y divertido. Tambien me gusta spanish por que mi maestro es simpatico. En mathmaticas me gusta tarea y mi amiga elise en mi clase. ",I-MF
61,A1985568,1285888.0,A2,A mi me gusta la escuela por que mi clase es muy bonita y bien. Tambien los meastra es muy simpatica. Clase es facil y divertido! Uno problemo es muy tarea y dicifil. Por que no le gusta muy tarea. ,I-MM
63,A1985568,1285888.0,A2,"Buenovida, me llamo Brookelynn. ¿Como te llamas? ¿Que te gusta? ¿Que no te gusta? ¿De donde eres? ¿Como eres? ¿Cuantos anos teine? ",I-MM
68,A1985568,1285888.0,A2,"Buenovida, me llamo Brookelynn. ¿Como te llamas? ¿Que te gusta? ¿Que no te gusta? ¿De donde eres? ¿Como eres? ¿Cuantos anos teine? ",I-MM
70,A1985568,1285888.0,A2,A mi me gusta la escuela por que mi clase es muy bonita y bien. Tambien los meastra es muy simpatica. Clase es facil y divertido! Uno problemo es muy tarea y dicifil. Por que no le gusta muy tarea. ,I-MF
71,A1985568,1285888.0,A2,"Mi favorito clase es mathmaticas, por que facil y divertido. Tambien me gusta spanish por que mi maestro es simpatico. En mathmaticas me gusta tarea y mi amiga elise en mi clase. ",I-MM
152,A2019982,1314458.0,B,"?Cuando estudiantes en tu escuela intresante en programma? ?Como tu trabajadora??Tengo hermanos y hermanas??Donde tu padres??Como clase faviourita, porque??Te gusta niños?",I-SE
154,A2019982,1314458.0,B,Soy es estudiante en Hillcrest High School. Mi clase faviourita a hora es IB Historia porque Dr. C es profesora muy bein es mi clase. Yo no me gusta clase de matematicas porques es no facíl.,I-MM
155,A2019982,1314458.0,B,"Mi esculela en Midvale, Utah es muy diferente tu mi escuela en ingleterra, pero me gusta a hora escuela en Utah porque tienen opurtunidad mas importante.",I-MM
156,A2019982,1314458.0,B,"Mi esculela en Midvale, Utah es muy diferente tu mi escuela en ingleterra, pero me gusta a hora escuela en Utah porque tienen opurtunidad mas importante.",I-SE
157,A2019982,1314458.0,B,Soy es estudiante en Hillcrest High School. Mi clase faviourita a hora es IB Historia porque Dr. C es profesora muy bein es mi clase. Yo no me gusta clase de matematicas porques es no facíl.,I-MM
159,A2019982,1314458.0,B,"?Cuando estudiantes en tu escuela intresante en programma? ?Como tu trabajadora??Tengo hermanos y hermanas??Donde tu padres??Como clase faviourita, porque??Te gusta niños?",I-SE
306,A2062098,1352741.0,A2,"¡Hola! Voy a Diamond, mi escuela. Tenemos muchas clases diferentes. Aprendemos muchas cosas en escuela.Mi clases favorita son inglés y arte. Mi profesora de inglés es la señora Levy. Ella es muy simpática. Obviamente, en su clase, tenemos que escribir y leer mucho. A veces es difícil, pero me gusta mucho. Mi profesor de arte es el señor Aman. Él es estricto, y, en mi opinion, su clase es divertida porque me encanta dibujar.Tengo que irme. Hasta luego,Ariela",I-MF
307,A2062098,1352741.0,A2,"¡Hola! ¿Cómo estas?Estoy en la escuela ahora. Mi escuela es Diamond. Las clases aquí son muy interesante, y aprendo mucha en todos mi clases. Los profesores son estricto, perp divertido y simpático.Tenemos mucha tarea. ¡Qué mal! Pero a veces, por ejemplo, durante el vacaciones, no tenemos tarea. También, la comida a mi escuela no es buena, y no me gusta mucho. Triago mi almuerzo de casa, y como en el cafetería muy grande con mis amigos.Son las once. Tengo que ir a la clase de inglés.Adiós,Ariela",I-MF
309,A2062098,1352741.0,A2,"Buenas tarde, profesor. ¿Cómo esta usted?Me llamo Ariela, y tengo 12 años. Soy un estudiante en el Estados Unidos.Tengo unas preguntas. ",I-SE
314,A2062098,1352741.0,A2,"Buenas tarde, profesor. ¿Cómo esta usted?Me llamo Ariela, y tengo 12 años. Soy un estudiante en el Estados Unidos.Tengo unas preguntas. ",I-SE
316,A2062098,1352741.0,A2,"¡Hola! ¿Cómo estas?Estoy en la escuela ahora. Mi escuela es Diamond. Las clases aquí son muy interesante, y aprendo mucha en todos mi clases. Los profesores son estricto, perp divertido y simpático.Tenemos mucha tarea. ¡Qué mal! Pero a veces, por ejemplo, durante el vacaciones, no tenemos tarea. También, la comida a mi escuela no es buena, y no me gusta mucho. Triago mi almuerzo de casa, y como en el cafetería muy grande con mis amigos.Son las once. Tengo que ir a la clase de inglés.Adiós,Ariela",I-MF
317,A2062098,1352741.0,A2,"¡Hola! Voy a Diamond, mi escuela. Tenemos muchas clases diferentes. Aprendemos muchas cosas en escuela.Mi clases favorita son inglés y arte. Mi profesora de inglés es la señora Levy. Ella es muy simpática. Obviamente, en su clase, tenemos que escribir y leer mucho. A veces es difícil, pero me gusta mucho. Mi profesor de arte es el señor Aman. Él es estricto, y, en mi opinion, su clase es divertida porque me encanta dibujar.Tengo que irme. Hasta luego,Ariela",I-MF
372,A2071278,1360573.0,A2,"¡Hola amigos!,Mi clase favorito es estudias sociales porque es muy interestante tipicos y es muy divertido. Es un estudiante comico el la clase.",I-MM
373,A2071278,1360573.0,A2,"¡Hola!, Mi escuela es muy bien porque los estudianes esta muy sympatico. Tambien los profesors es muy divertido y esta muy intelegente. El secuela es muy symatico y la cafeteria es muy bien.",I-MM
374,A2071278,1360573.0,A2,¿cual es su trabaja favorito?¿Tu tiene un familia?¿donde tu vive?¿cual es interstante de su trabajar?,I-MM
