,Username,Testid,Version,Response,Score
933,A2111575,1398952.0,A2,Hola mi numbre es ethan jubb. Yo amor los video juegos y lacrosse. Lacrosse es muy intersante porque los perosnas en lacrosse usar el bola muy pequeno en shootar en goala largo. Los otras deportes to juegar es tennis y nadar. en mi casa es no mucho personas solo mi mama y mi papa y un perro largo. durante primavera mi familia cortar los animalas pequeno porque nos comer los animalas. mi personas favorita es shiv renjen porque el es muyintersante y no estupido con pelear mucho en esquela.  ,N-MF
934,A2111575,1398952.0,A2,en mi escuela todos los personas usar el bano perro es muy complicado porque los banos es no largo y es singular. en la miércoles todos los estudiantes usar el bloque dos por la tarea ,N-MM
935,A2111575,1398952.0,A2,mi persona favorito es shiv renjen porque es muy intersante duranta la clasa de education phiscal porque shiv usar el lapiz en la espacio largo,N-MM
936,A2111575,1398952.0,A2,mi persona favorito es shiv renjen porque es muy intersante duranta la clasa de education phiscal porque shiv usar el lapiz en la espacio largo,N-SE
937,A2111575,1398952.0,A2,en mi escuela todos los personas usar el bano perro es muy complicado porque los banos es no largo y es singular. en la miércoles todos los estudiantes usar el bloque dos por la tarea ,N-NE
938,A2111575,1398952.0,A2,Hola mi numbre es ethan jubb. Yo amor los video juegos y lacrosse. Lacrosse es muy intersante porque los perosnas en lacrosse usar el bola muy pequeno en shootar en goala largo. Los otras deportes to juegar es tennis y nadar. en mi casa es no mucho personas solo mi mama y mi papa y un perro largo. durante primavera mi familia cortar los animalas pequeno porque nos comer los animalas. mi personas favorita es shiv renjen porque el es muyintersante y no estupido con pelear mucho en esquela.  ,N-MF
1519,A2127013,1413752.0,A2,Mi amigos es Jamie.Jamie es en mi amigio porque mi gusta el personalidid.Mi amigo es chase.Mi y chase es amiogos porque we pescado a veces y pescado en bowie nature park.Mi finalmente amigos es dalton.Mi y dalton es amiogos porque tengo eschula y spainsh clase.Mi amigos tengo  eschula y tengo clase.,N-MM
1522,A2127013,1413752.0,A2,"Hola me nambre es Jacob.Barnes dias.yo soy en eschula.me gusta o pescado en lago con mis amigos y familia.Mi y padre trabajor en la semena.Mi y hermano gusta caros y pescado.Me gusta perros,yo tengo dos perros.Finalmente me gusta o acampar en el verno me gusta o americano desportes.",N-MF
1523,A2127013,1413752.0,A2,"yo soy althletico,me gusta jugar americano fubul en que us.Mi favorite desportes es futbol y basketbul.Basketbul y futbul es importente en que us.En tennesse tu acampar,pescado,comer,nadar.Yo recamende o pescado en rio en tenneesse.Mi gusta pescado en tennesee en rio y lago.",N-MM
1524,A2127013,1413752.0,A2,"yo soy althletico,me gusta jugar americano fubul en que us.Mi favorite desportes es futbol y basketbul.Basketbul y futbul es importente en que us.En tennesse tu acampar,pescado,comer,nadar.Yo recamende o pescado en rio en tenneesse.Mi gusta pescado en tennesee en rio y lago.",N-MF
1525,A2127013,1413752.0,A2,"Hola me nambre es Jacob.Barnes dias.yo soy en eschula.me gusta o pescado en lago con mis amigos y familia.Mi y padre trabajor en la semena.Mi y hermano gusta caros y pescado.Me gusta perros,yo tengo dos perros.Finalmente me gusta o acampar en el verno me gusta o americano desportes.",N-MF
