no, distIMF, distIMM, distISE, distINE, maxSim, predicted, expected,,Correct,10446
1,0.266466433,0.317236105,0.295641023,0.189192416,0.317236105,I-MM,I-MF,,Total,19069
2,0.338626041,0.396706558,0.372681836,0.23289365,0.396706558,I-MM,I-MM,,Percentage,55%
3,0.172440367,0.190842607,0.180378257,0.083399848,0.190842607,I-MM,I-MM,,,
4,0.172440367,0.190842607,0.180378257,0.083399848,0.190842607,I-MM,I-MM,,,
5,0.338626041,0.396706558,0.372681836,0.23289365,0.396706558,I-MM,I-MF,,,
6,0.266466433,0.317236105,0.295641023,0.189192416,0.317236105,I-MM,I-MM,,,
7,0.193291417,0.226916389,0.224048654,0.111078678,0.226916389,I-MM,I-SE,,,
8,0.247818953,0.31720339,0.299598862,0.213127891,0.31720339,I-MM,I-MM,,,
9,0.178776183,0.200956537,0.205354616,0.133734534,0.205354616,I-SE,I-MM,,,
10,0.178776183,0.200956537,0.205354616,0.133734534,0.205354616,I-SE,I-SE,,,
11,0.247818953,0.31720339,0.299598862,0.213127891,0.31720339,I-MM,I-MM,,,
12,0.193291417,0.226916389,0.224048654,0.111078678,0.226916389,I-MM,I-SE,,,
13,0.358772719,0.379109329,0.349559054,0.228249483,0.379109329,I-MM,I-MF,,,
14,0.413048394,0.403406215,0.372499637,0.242831779,0.413048394,I-MF,I-MF,,,
15,0.137820808,0.136198049,0.135577965,0.091339608,0.137820808,I-MF,I-SE,,,
16,0.137820808,0.136198049,0.135577965,0.091339608,0.137820808,I-MF,I-SE,,,
17,0.413048394,0.403406215,0.372499637,0.242831779,0.413048394,I-MF,I-MF,,,
18,0.358772719,0.379109329,0.349559054,0.228249483,0.379109329,I-MM,I-MF,,,
19,0.253303354,0.338793062,0.329317239,0.209210897,0.338793062,I-MM,I-MM,,,
20,0.243023,0.297518861,0.3012283,0.198790843,0.3012283,I-SE,I-MM,,,
21,0.182186173,0.211051599,0.223083355,0.118043524,0.223083355,I-SE,I-MM,,,
22,0.182186173,0.211051599,0.223083355,0.118043524,0.223083355,I-SE,I-MM,,,
23,0.243023,0.297518861,0.3012283,0.198790843,0.3012283,I-SE,I-MM,,,
24,0.253303354,0.338793062,0.329317239,0.209210897,0.338793062,I-MM,I-MM,,,
25,0.218168548,0.261931425,0.25264692,0.172748061,0.261931425,I-MM,I-SE,,,
26,0.188536175,0.225007238,0.225425385,0.147958826,0.225425385,I-SE,I-SE,,,
27,0.149563904,0.180621847,0.176802022,0.103433661,0.180621847,I-MM,I-SE,,,
28,0.149563904,0.180621847,0.176802022,0.103433661,0.180621847,I-MM,I-SE,,,
29,0.188536175,0.225007238,0.225425385,0.147958826,0.225425385,I-SE,I-SE,,,
30,0.218168548,0.261931425,0.25264692,0.172748061,0.261931425,I-MM,I-SE,,,
31,0.300289876,0.342388391,0.291492532,0.191044281,0.342388391,I-MM,I-MM,,,
32,0.346855599,0.326330731,0.315494052,0.193329214,0.346855599,I-MF,I-MM,,,
33,0.307719661,0.331116756,0.3404268,0.205304928,0.3404268,I-SE,I-MM,,,
34,0.307719661,0.331116756,0.3404268,0.205304928,0.3404268,I-SE,I-MM,,,
35,0.346855599,0.326330731,0.315494052,0.193329214,0.346855599,I-MF,I-SE,,,
36,0.300289876,0.342388391,0.291492532,0.191044281,0.342388391,I-MM,I-MM,,,
37,0.431650717,0.465510562,0.41544444,0.252263034,0.465510562,I-MM,I-MF,,,
38,0.444555279,0.418463597,0.397313284,0.253579198,0.444555279,I-MF,I-MF,,,
39,0.350344047,0.37615748,0.38340983,0.230931004,0.38340983,I-SE,I-MF,,,
40,0.350344047,0.37615748,0.38340983,0.230931004,0.38340983,I-SE,I-MF,,,
41,0.444555279,0.418463597,0.397313284,0.253579198,0.444555279,I-MF,I-MF,,,
42,0.431650717,0.465510562,0.41544444,0.252263034,0.465510562,I-MM,I-MF,,,
43,0.089111374,0.109117744,0.114552659,0.065786938,0.114552659,I-SE,I-MM,,,
44,0.1642294,0.134396833,0.111736789,0.054371421,0.1642294,I-MF,I-MM,,,
45,0.063064535,0.073235943,0.066902833,0.027016228,0.073235943,I-MM,I-MM,,,
46,0.063064535,0.073235943,0.066902833,0.027016228,0.073235943,I-MM,I-MM,,,
47,0.1642294,0.134396833,0.111736789,0.054371421,0.1642294,I-MF,I-MM,,,
48,0.089111374,0.109117744,0.114552659,0.065786938,0.114552659,I-SE,I-MM,,,
49,0.177110619,0.181786407,0.190339053,0.154445712,0.190339053,I-SE,I-SE,,,
50,0.094337903,0.089124258,0.086442014,0.074137238,0.094337903,I-MF,I-NE,,,
51,0.244088284,0.260967786,0.258397311,0.150450351,0.260967786,I-MM,I-SE,,,
52,0.244088284,0.260967786,0.258397311,0.150450351,0.260967786,I-MM,I-SE,,,
53,0.094337903,0.089124258,0.086442014,0.074137238,0.094337903,I-MF,I-NE,,,
54,0.177110619,0.181786407,0.190339053,0.154445712,0.190339053,I-SE,I-SE,,,
55,0.246692891,0.285785455,0.2790829,0.17839609,0.285785455,I-MM,I-SE,,,
56,0.250700703,0.26175466,0.257543983,0.15969031,0.26175466,I-MM,I-MM,,,
57,0.224854418,0.2663977,0.265241771,0.138991804,0.2663977,I-MM,I-MM,,,
58,0.224854418,0.2663977,0.265241771,0.138991804,0.2663977,I-MM,I-MM,,,
59,0.250700703,0.26175466,0.257543983,0.15969031,0.26175466,I-MM,I-MM,,,
60,0.246692891,0.285785455,0.2790829,0.17839609,0.285785455,I-MM,I-MM,,,
61,0.309703859,0.405782791,0.375660531,0.257046157,0.405782791,I-MM,I-MM,,,
62,0.249972643,0.327704677,0.342782827,0.265380229,0.342782827,I-SE,I-MM,,,
63,0.221518794,0.238756406,0.211063179,0.108729733,0.238756406,I-MM,I-MM,,,
64,0.221518794,0.238756406,0.211063179,0.108729733,0.238756406,I-MM,I-MM,,,
65,0.249972643,0.327704677,0.342782827,0.265380229,0.342782827,I-SE,I-MM,,,
66,0.309703859,0.405782791,0.375660531,0.257046157,0.405782791,I-MM,I-MM,,,
67,0.315457539,0.372959844,0.344168601,0.236576189,0.372959844,I-MM,I-MF,,,
68,0.320374632,0.355782894,0.338742777,0.221529178,0.355782894,I-MM,I-MF,,,
69,0.253977499,0.257243107,0.242772962,0.113186319,0.257243107,I-MM,I-MF,,,
70,0.253977499,0.257243107,0.242772962,0.113186319,0.257243107,I-MM,I-MF,,,
71,0.320374632,0.355782894,0.338742777,0.221529178,0.355782894,I-MM,I-MF,,,
72,0.315457539,0.372959844,0.344168601,0.236576189,0.372959844,I-MM,I-MF,,,
73,0.190136552,0.252611579,0.267238428,0.177071263,0.267238428,I-SE,I-MM,,,
74,0.26016276,0.30890268,0.310168699,0.205859442,0.310168699,I-SE,I-MM,,,
75,0.232636755,0.299673204,0.306687062,0.189809387,0.306687062,I-SE,I-MM,,,
76,0.232636755,0.299673204,0.306687062,0.189809387,0.306687062,I-SE,I-MM,,,
77,0.26016276,0.30890268,0.310168699,0.205859442,0.310168699,I-SE,I-MM,,,
78,0.190136552,0.252611579,0.267238428,0.177071263,0.267238428,I-SE,I-MM,,,
79,0.238071661,0.242251446,0.235254948,0.16486544,0.242251446,I-MM,I-MF,,,
80,0.411936629,0.361226285,0.339634294,0.223641446,0.411936629,I-MF,I-MF,,,
81,0.323102474,0.294586757,0.278323189,0.153477188,0.323102474,I-MF,I-MF,,,
82,0.323102474,0.294586757,0.278323189,0.153477188,0.323102474,I-MF,I-MF,,,
83,0.411936629,0.361226285,0.339634294,0.223641446,0.411936629,I-MF,I-MF,,,
84,0.238071661,0.242251446,0.235254948,0.16486544,0.242251446,I-MM,I-MF,,,
85,0.084492442,0.097697713,0.109423482,0.076093905,0.109423482,I-SE,I-SE,,,
