no, distIMF, distIMM, distISE, distINE, maxSim, predicted, expected,,Overall,
1,0.890250322,0.88628568,0.867886774,0.708944743,0.890250322,I-MF,I-MF,,Correct,7926
2,0.838601189,0.850076509,0.843911764,0.744421015,0.850076509,I-MM,I-MM,,Total,19069
3,0.664638883,0.710068667,0.7185435,0.658240287,0.7185435,I-SE,I-MM,,Percentage,42%
4,0.664638883,0.710068667,0.7185435,0.658240287,0.7185435,I-SE,I-MM,,IMF,
5,0.838601189,0.850076509,0.843911764,0.744421015,0.850076509,I-MM,I-MF,,Correct,4606
6,0.890250322,0.88628568,0.867886774,0.708944743,0.890250322,I-MF,I-MM,,Total,7170
7,0.859436077,0.859379234,0.852552011,0.723846896,0.859436077,I-MF,I-SE,,Percentage,64%
8,0.806500086,0.832315243,0.862749794,0.947669866,0.947669866,I-NE,I-MM,,IMM,
9,0.86586113,0.883061205,0.905809334,0.95555815,0.95555815,I-NE,I-MM,,Correct,1255
10,0.86586113,0.883061205,0.905809334,0.95555815,0.95555815,I-NE,I-SE,,Total,5529
11,0.806500086,0.832315243,0.862749794,0.947669866,0.947669866,I-NE,I-MM,,Percentage,23%
12,0.859436077,0.859379234,0.852552011,0.723846896,0.859436077,I-MF,I-SE,,ISE,
13,0.948574272,0.960179209,0.960066787,0.846360792,0.960179209,I-MM,I-MF,,Correct,1017
14,0.929925496,0.939315181,0.93573399,0.825378014,0.939315181,I-MM,I-MF,,Total,4080
15,0.845411839,0.872762259,0.883775685,0.815926954,0.883775685,I-SE,I-SE,,Percentage,25%
16,0.845411839,0.872762259,0.883775685,0.815926954,0.883775685,I-SE,I-SE,,INE,
17,0.929925496,0.939315181,0.93573399,0.825378014,0.939315181,I-MM,I-MF,,Correct,1048
18,0.948574272,0.960179209,0.960066787,0.846360792,0.960179209,I-MM,I-MF,,Total,2290
19,0.719253525,0.740046684,0.73733873,0.616179459,0.740046684,I-MM,I-MM,,Percentage,46%
20,0.757291388,0.770432003,0.764059583,0.654760002,0.770432003,I-MM,I-MM,,,
21,0.740132857,0.778184935,0.781283473,0.706589237,0.781283473,I-SE,I-MM,,,
22,0.740132857,0.778184935,0.781283473,0.706589237,0.781283473,I-SE,I-MM,,,
23,0.757291388,0.770432003,0.764059583,0.654760002,0.770432003,I-MM,I-MM,,,
24,0.719253525,0.740046684,0.73733873,0.616179459,0.740046684,I-MM,I-MM,,,
25,0.932694263,0.945137815,0.943965612,0.84857166,0.945137815,I-MM,I-SE,,,
26,0.871283783,0.884945515,0.869086862,0.713061065,0.884945515,I-MM,I-SE,,,
27,0.755148159,0.772409264,0.771420068,0.680147063,0.772409264,I-MM,I-SE,,,
28,0.755148159,0.772409264,0.771420068,0.680147063,0.772409264,I-MM,I-SE,,,
29,0.871283783,0.884945515,0.869086862,0.713061065,0.884945515,I-MM,I-SE,,,
30,0.932694263,0.945137815,0.943965612,0.84857166,0.945137815,I-MM,I-SE,,,
31,0.895588917,0.877134512,0.861755695,0.717363554,0.895588917,I-MF,I-MM,,,
32,0.917260478,0.891260507,0.877630122,0.73880831,0.917260478,I-MF,I-MM,,,
33,0.908837312,0.918343438,0.931339114,0.898841817,0.931339114,I-SE,I-MM,,,
34,0.908837312,0.918343438,0.931339114,0.898841817,0.931339114,I-SE,I-MM,,,
35,0.917260478,0.891260507,0.877630122,0.73880831,0.917260478,I-MF,I-SE,,,
36,0.895588917,0.877134512,0.861755695,0.717363554,0.895588917,I-MF,I-MM,,,
37,0.947561504,0.93462007,0.923175621,0.802661844,0.947561504,I-MF,I-MF,,,
38,0.947972882,0.92576438,0.917847214,0.809880965,0.947972882,I-MF,I-MF,,,
39,0.947587884,0.955024008,0.955975374,0.866799936,0.955975374,I-SE,I-MF,,,
40,0.947587884,0.955024008,0.955975374,0.866799936,0.955975374,I-SE,I-MF,,,
41,0.947972882,0.92576438,0.917847214,0.809880965,0.947972882,I-MF,I-MF,,,
42,0.947561504,0.93462007,0.923175621,0.802661844,0.947561504,I-MF,I-MF,,,
