"Username","Gender","Grade","Grade Level","Year of study","Type of instruction","Relationship to language","Rating position","Testid","Test date","Version","FinalRating","R1","Rater1","R2","Rater2","R3","Rater3","R4","Rater4","Score","Topic","Prompt","Response","Totaltime"
"A2861835","Female","11.0","Secondary / High School","Unknown","Heritage learner","Heritage Language","1.0","2066577.0","57:37.2","B2","I3","I3","3252.0","I3","3545.0","nan","nan","nan","nan","I-MF","ANIMALS","National wild animal week is approaching. Your Spanish language class is learning about zoos in Mexico City.Write a blog post in which you describe zoos, state what people do at zoos, and explain whether or not you like zoos and why.","<p>Hoy fuí al muzeo con mi clasé de español. Me devirti mucho.  Vi a muchos animales como las girafas y los pengüinos y muchos mas muy enteresantes. Tambíen a muchos más que ni conocía. </p>","21.0"
"A2861835","Female","11.0","Secondary / High School","Unknown","Heritage learner","Heritage Language","1.0","2066577.0","57:37.2","B2","I3","I3","3252.0","I3","3545.0","nan","nan","nan","nan","I-MM","COMMUNICATIONS","Your pen pal wrote to you and wants to learn more about the culture of teens in your community. She wants to know how they communicate with each other. She asked if students use technology to stay in touch with their friends and what kind of online activities, websites, and apps are popular with kids in your school and community.Write an email of several sentences that explains how teens in your community communicate and stay in touch with each other. Also explain which online activities, websites, and apps are popular at your school and with your friends. Also tell her about what kinds of online activities websites and apps are not popular. Use as much description as possible.","<p>buenos dias muchachos es muy inportante que esten todos muy cominicados. porque asi tienes mas amisdades tienes con algiun con quien hablar. </p>","21.0"
"A2861835","Female","11.0","Secondary / High School","Unknown","Heritage learner","Heritage Language","1.0","2066577.0","57:37.2","B2","I3","I3","3252.0","I3","3545.0","nan","nan","nan","nan","I-MF","DIRECTIONS","You are emailing an exchange student from Costa Rica, who is new to your school. This student loves to read and wants to know how to get a library card and check out books.Write an email that gives instructions about how to get a library card and check out books. Be specific as you can and include details that will help the new exchange student use the library.","<p>buenos días, me acabo de enteras que te gustaría sacar una tarjeta para sacar libros. Para sacar libros tienes que ir con la sequetariá que esta sentada enfrente. Ahí te explícara como sirbe la tarjeta. Tambien te pregunta varías preguntas como cuando es tu cumplaños y un pin para tu tarjeta. Espero que te pudo alludar un poco mi coreo.</p><p>                     </p><p><br></p>","21.0"
"A2861835","Female","11.0","Secondary / High School","Unknown","Heritage learner","Heritage Language","1.0","2066577.0","57:37.2","B2","I3","I3","3252.0","I3","3545.0","nan","nan","nan","nan","A-NE","LANGUAGE ARTS","An international student who is coming to your school would like to know what movies and tv shows students in your school like.Youve been asked to post a blog on your schools website about a movie or television show you recently saw. Make sure your blog post has several paragraphs in which you: 1. Summarize the plot. Make sure you give enough detail that the student will be able to decide if he/she wants to watch the movie or show.2. Describe one of the characters in detail. What makes that person an interesting character?3. Explain what you liked about the movie/ show and what you think could be better. Help the international student decide if this movie/show is worth seeing or not.","nan","21.0"
"A2861835","Female","11.0","Secondary / High School","Unknown","Heritage learner","Heritage Language","1.0","2066577.0","57:37.2","B2","I3","I3","3252.0","I3","3545.0","nan","nan","nan","nan","A-NE","EDUCATION","The students in your partner school in Madrid want to learn more about the education system in your community.Write an email of several paragraphs in length that explains the school system where you live.1. Tell a story about something that happened in your school system. This could be something you or someone you know experienced.2. Describe other schooling options that are available in your community.3. Make sure to explain the pros and the cons of the different schooling options in your community.","nan","21.0"
"A2861835","Female","11.0","Secondary / High School","Unknown","Heritage learner","Heritage Language","1.0","2066577.0","57:37.2","B2","I3","I3","3252.0","I3","3545.0","nan","nan","nan","nan","A-NE","ENVIRONMENT","Your pen pal in Spain has written an email to you. In her email, she described some of the changes her school is making to be more environmentally friendly. She wants to know what your school does to be green. Write an email, several paragraphs in length, in which you describe programs or initiatives in your school that promote taking care of our planet. Be sure to describe in detail the following:1. What your school and student groups have done in the past.2. What you and your school are currently doing.3. What you think you and your school could do better in the future.","<p>a mi escuela nos piden a todos que recyclemos. todos los estudiantes tenemmos que hacer esto. aunque nos pidan que lo agamos a todos nos gusta mucho, no es un gran problema para nosotros.</p>","21.0"
"A2872219","female","11.0","Secondary / High School","5","Traditional classroom","Foreign Language","1.0","2076436.0","19:24.6","B2","I4","I4","460.0","I4","3545.0","nan","nan","nan","nan","I-MF","ANIMALS","National wild animal week is approaching. Your Spanish language class is learning about zoos in Mexico City.Write a blog post in which you describe zoos, state what people do at zoos, and explain whether or not you like zoos and why.","<p>Este semana es la nacional semana de animales. Es importante aprender sobre los animales, y los zoológicos enseñan esta información a la gente. Zoológicos tienen muchos animales para ver. En un zoológico, personas pueden visitar los animales de environmentos diferentes a una distencia. Para algunas animales, personas pueden comprar comida y dan al animal. También, muchos animales tienen plaques que tienen información para leer sobre el animal. Me gusta los zoológicos porque es un bien oportunidad para aprender más información sobre un variedad de animales.</p>","42.0"
"A2872219","female","11.0","Secondary / High School","5","Traditional classroom","Foreign Language","1.0","2076436.0","19:24.6","B2","I4","I4","460.0","I4","3545.0","nan","nan","nan","nan","I-MF","COMMUNICATIONS","Your pen pal wrote to you and wants to learn more about the culture of teens in your community. She wants to know how they communicate with each other. She asked if students use technology to stay in touch with their friends and what kind of online activities, websites, and apps are popular with kids in your school and community.Write an email of several sentences that explains how teens in your community communicate and stay in touch with each other. Also explain which online activities, websites, and apps are popular at your school and with your friends. Also tell her about what kinds of online activities websites and apps are not popular. Use as much description as possible.","<p>Hola amigo,</p><p>En mi communidad, muchos adolecientes usan tecnologia para comunicar con sus amigos. Nosotros hablamos más en sus cellulares con en persona. Este es porque hay un variedad de applicaciónes que usamos para comunicar. Hay Snapchat, Instagram, Twitter, Facebook, y más, pero Instagram y Snapchat son más popular con los adolecientes. Facebook es menos popular con los adolecientes en mi comunidad, pero es muy popular con los aldultos. ¿En tu comunidad usan estes applicaciónes o es diferente?</p><p>Adiós,</p><p>Tu amigo.</p>","42.0"
"A2872219","female","11.0","Secondary / High School","5","Traditional classroom","Foreign Language","1.0","2076436.0","19:24.6","B2","I4","I4","460.0","I4","3545.0","nan","nan","nan","nan","A-SE","LANGUAGE ARTS","An international student who is coming to your school would like to know what movies and tv shows students in your school like.Youve been asked to post a blog on your schools website about a movie or television show you recently saw. Make sure your blog post has several paragraphs in which you: 1. Summarize the plot. Make sure you give enough detail that the student will be able to decide if he/she wants to watch the movie or show.2. Describe one of the characters in detail. What makes that person an interesting character?3. Explain what you liked about the movie/ show and what you think could be better. Help the international student decide if this movie/show is worth seeing or not.","<p>Algunos noches pasados, yo miré la pelicula Coco. Coco es una pelicula de Disney, y es sobre la Dia de Los Muertos. Es una pelicula muy emocional y bonita. Es una cuento sobre un niño que quería ser un persona que tocaba musica, pero su familia dice ¨no¨a él. Así que, él necesita hacer un viaje muy grande en orden a permite permisión. Él fue a la mundo de los muertos y aprendió más de su historia de su familia. Es una pelicula muy bien, y doy esta pelicula cinco estrellas cada cinco. Yo recomiendo todas personas ver este pelicula.</p>","42.0"
"A2872219","female","11.0","Secondary / High School","5","Traditional classroom","Foreign Language","1.0","2076436.0","19:24.6","B2","I4","I4","460.0","I4","3545.0","nan","nan","nan","nan","I-MF","DIRECTIONS","You are emailing an exchange student from Costa Rica, who is new to your school. This student loves to read and wants to know how to get a library card and check out books.Write an email that gives instructions about how to get a library card and check out books. Be specific as you can and include details that will help the new exchange student use the library.","<p>¡Hola amigo!</p><p>Yo leyó su primer correo electronico, y se cómo obtener un tarjeta de la biblioteca porque me gustan leer los libros también. Para obtener un tarjeta de la biblioteca, necesitas ir a la biblioteca cerca de tu casa. Después, yo recomendo hablar con una persona que trabajar en la biblioteca. Esta persona puende ayudarte con obtener la tarjeta. Después de obtener una tarjeta, puedes usar los libros de la biblioteca.<br></p><p>De nada,<br></p><p>-- Su amigo.</p>","42.0"
