no, distIMF, distIMM, distISE, distINE, maxSim, predicted, expected,,Overall,
1,0.163874391,0.198355355,0.183573755,0.111956326,0.198355355,I-MM,I-MF,,Correct,11237
2,0.202377804,0.241400937,0.223511,0.133788249,0.241400937,I-MM,I-MM,,Total,19069
3,0.119063581,0.139946199,0.128978704,0.055087557,0.139946199,I-MM,I-MM,,Percentage,59%
4,0.119063581,0.139946199,0.128978704,0.055087557,0.139946199,I-MM,I-MM,,IMF,
5,0.202377804,0.241400937,0.223511,0.133788249,0.241400937,I-MM,I-MF,,Correct,5119
6,0.163874391,0.198355355,0.183573755,0.111956326,0.198355355,I-MM,I-MM,,Total,7170
7,0.099978163,0.114867552,0.115146968,0.055381936,0.115146968,I-SE,I-SE,,Percentage,71%
8,0.144053349,0.185403471,0.16832156,0.115283574,0.185403471,I-MM,I-MM,,IMM,
9,0.10888713,0.122029592,0.125825217,0.07903217,0.125825217,I-SE,I-MM,,Correct,2510
10,0.10888713,0.122029592,0.125825217,0.07903217,0.125825217,I-SE,I-SE,,Total,5529
11,0.144053349,0.185403471,0.16832156,0.115283574,0.185403471,I-MM,I-MM,,Percentage,45%
12,0.099978163,0.114867552,0.115146968,0.055381936,0.115146968,I-SE,I-SE,,ISE,
13,0.214081639,0.219354389,0.201273904,0.129109523,0.219354389,I-MM,I-MF,,Correct,2552
14,0.248250189,0.238250347,0.215110571,0.135775478,0.248250189,I-MF,I-MF,,Total,4080
15,0.075980838,0.072160908,0.076183988,0.048059391,0.076183988,I-SE,I-SE,,Percentage,63%
16,0.075980838,0.072160908,0.076183988,0.048059391,0.076183988,I-SE,I-SE,,INE,
17,0.248250189,0.238250347,0.215110571,0.135775478,0.248250189,I-MF,I-MF,,Correct,1056
18,0.214081639,0.219354389,0.201273904,0.129109523,0.219354389,I-MM,I-MF,,Total,2290
19,0.162308501,0.219365474,0.202512334,0.121976632,0.219365474,I-MM,I-MM,,Percentage,46%
20,0.157441502,0.202795592,0.201658516,0.129245573,0.202795592,I-MM,I-MM,,,
21,0.098560629,0.113677031,0.117362065,0.058914269,0.117362065,I-SE,I-MM,,,
22,0.098560629,0.113677031,0.117362065,0.058914269,0.117362065,I-SE,I-MM,,,
23,0.157441502,0.202795592,0.201658516,0.129245573,0.202795592,I-MM,I-MM,,,
24,0.162308501,0.219365474,0.202512334,0.121976632,0.219365474,I-MM,I-MM,,,
