Username,Gender,Grade,Grade Level,Year of study,Type of instruction,Relationship to language,Rating position,Testid,Test date,Version,FinalRating,R1,Rater1,R2,Rater2,R3,Rater3,R4,Rater4,Score,Topic,Prompt,Response,Totaltime
A2062098,F,7,Spanish 1 / 2 years,nan,nan,nan,1,1352741,46:19.9,A2,I2,I2,3927,I2,3389,nan,nan,nan,nan,I-MF,Favorite Class,"Situation: Students in your partner school in Lima, Peru are interested in knowing more about favorite classes in your school. You and your classmates each respond by telling about your own favorite class. Your task: Write about your favorite class. Tell what kinds of things happen in class, and why it is your favorite class.","¡Hola! Voy a Diamond, mi escuela. Tenemos muchas clases diferentes. Aprendemos muchas cosas en escuela.Mi clases favorita son inglés y arte. Mi profesora de inglés es la señora Levy. Ella es muy simpática. Obviamente, en su clase, tenemos que escribir y leer mucho. A veces es difícil, pero me gusta mucho. Mi profesor de arte es el señor Aman. Él es estricto, y, en mi opinion, su clase es divertida porque me encanta dibujar.Tengo que irme. Hasta luego,Ariela",56
A2062098,F,7,Spanish 1 / 2 years,nan,nan,nan,1,1352741,46:19.9,A2,I2,I2,3927,I2,3389,nan,nan,nan,nan,I-MF,School Improvement,"Situation: Your partner class in a school overseas wants to know about your school. Your task: Write a note to your partner class telling what you like about your school and why. Then, also write about some things that need to be improved and why.","¡Hola! ¿Cómo estas?Estoy en la escuela ahora. Mi escuela es Diamond. Las clases aquí son muy interesante, y aprendo mucha en todos mi clases. Los profesores son estricto, perp divertido y simpático.Tenemos mucha tarea. ¡Qué mal! Pero a veces, por ejemplo, durante el vacaciones, no tenemos tarea. También, la comida a mi escuela no es buena, y no me gusta mucho. Triago mi almuerzo de casa, y como en el cafetería muy grande con mis amigos.Son las once. Tengo que ir a la clase de inglés.Adiós,Ariela",56
A2062098,F,7,Spanish 1 / 2 years,nan,nan,nan,1,1352741,46:19.9,A2,I2,I2,3927,I2,3389,nan,nan,nan,nan,I-SE,Questions ,"Situation: A teacher from Madrid. is coming to visit your school. You will be introducing him/her to the members of the Spanishculture club. You decide to write a letter to the teacher before the visit. Your task: Write the part of the letter in which you ask a number of questions to help you to learn more about his/her job, interests, family, home, etc. in order to better prepare your introduction. ","Buenas tarde, profesor. ¿Cómo esta usted?Me llamo Ariela, y tengo 12 años. Soy un estudiante en el Estados Unidos.Tengo unas preguntas. ",56
A2071278,M,8,4,nan,nan,nan,1,1360573,43:01.1,A2,I1,I1,3400,I1,3252,nan,nan,nan,nan,I-MM,Favorite Class,"Situation: Students in your partner school in Lima, Peru are interested in knowing more about favorite classes in your school. You and your classmates each respond by telling about your own favorite class. Your task: Write about your favorite class. Tell what kinds of things happen in class, and why it is your favorite class.","¡Hola amigos!,Mi clase favorito es estudias sociales porque es muy interestante tipicos y es muy divertido. Es un estudiante comico el la clase.",22
A2071278,M,8,4,nan,nan,nan,1,1360573,43:01.1,A2,I1,I1,3400,I1,3252,nan,nan,nan,nan,I-MM,School Improvement,"Situation: Your partner class in a school overseas wants to know about your school. Your task: Write a note to your partner class telling what you like about your school and why. Then, also write about some things that need to be improved and why.","¡Hola!, Mi escuela es muy bien porque los estudianes esta muy sympatico. Tambien los profesors es muy divertido y esta muy intelegente. El secuela es muy symatico y la cafeteria es muy bien.",22
A2071278,M,8,4,nan,nan,nan,1,1360573,43:01.1,A2,I1,I1,3400,I1,3252,nan,nan,nan,nan,I-MM,Questions ,"Situation: A teacher from Madrid. is coming to visit your school. You will be introducing him/her to the members of the Spanishculture club. You decide to write a letter to the teacher before the visit. Your task: Write the part of the letter in which you ask a number of questions to help you to learn more about his/her job, interests, family, home, etc. in order to better prepare your introduction. ",¿cual es su trabaja favorito?¿Tu tiene un familia?¿donde tu vive?¿cual es interstante de su trabajar?,22
A2086310,F,11,3,nan,nan,nan,1,1375101,56:09.6,A2,N4,N4,3927,N4,460,nan,nan,nan,nan,I-SE,Favorite Class,"Situation: Students in your partner school in Lima, Peru are interested in knowing more about favorite classes in your school. You and your classmates each respond by telling about your own favorite class. Your task: Write about your favorite class. Tell what kinds of things happen in class, and why it is your favorite class.","Mi clase favorite es Bluff Staff. En el clase, nosotros escribir el libro de año. Es muy divertido y intersante. Nosotros escribir deportes, vivo de estudiantes, y tambièn escribir muchos estudiantes. Bluff Staff es mi favorito porqué es mucho divertido, el gente a gracioso y simpatico y el maestro es muy inteligente y divertido.",22
A2086310,F,11,3,nan,nan,nan,1,1375101,56:09.6,A2,N4,N4,3927,N4,460,nan,nan,nan,nan,I-SE,School Improvement,"Situation: Your partner class in a school overseas wants to know about your school. Your task: Write a note to your partner class telling what you like about your school and why. Then, also write about some things that need to be improved and why.","Me gusta la maestras y maestros a mi escuela. Ellos a muy inteligente, simpatico, y gracioso. El comida es no bueno y neccesitas trabajar. Mucho trabajar!",22
A2086310,F,11,3,nan,nan,nan,1,1375101,56:09.6,A2,N4,N4,3927,N4,460,nan,nan,nan,nan,I-SE,Questions ,"Situation: A teacher from Madrid. is coming to visit your school. You will be introducing him/her to the members of the Spanishculture club. You decide to write a letter to the teacher before the visit. Your task: Write the part of the letter in which you ask a number of questions to help you to learn more about his/her job, interests, family, home, etc. in order to better prepare your introduction. ",mucho estudiantes a tú escuela?donde es tú escuela locationes?le gusta tú estudiantes?le gusta meastra?,22
A2097154,F,10,3,nan,nan,nan,1,1385069,40:34.1,A2,I4,I4,3928,I4,3389,nan,nan,nan,nan,I-MF,Favorite Class,"Situation: Students in your partner school in Lima, Peru are interested in knowing more about favorite classes in your school. You and your classmates each respond by telling about your own favorite class. Your task: Write about your favorite class. Tell what kinds of things happen in class, and why it is your favorite class.",Mi clase favorito es Historia. Yo me gusta Historia mucho. En mi clase de historia tiene una profesor bueno y hay muchos disscusiones de historia con mis amigos. La clase es una clase de AP y es muy dificil pero es mi clase favorito por que la clase es dificil. Yo me gusta la clase por que Historia es muy importante para mi por que nosotros  nesicitamos historia para existen. Historia tiene muchos examenes y el examen de AP pero yo me gustan los examenes y todos son muy interasantes. En clase normamente nosotros leemos el libro de histora y hablamos. Es una systema muy buena y me gusta la clase mucho.,82
