no,username,testId,topic,Summer Break,Self Recommnedation,Social media,LANGUAGE ARTS,EDUCATION,ENVIRONMENT,POP_CULTURE,HEALTH
1,A2069488,1359190,Summer Break,0.087077004,0.055136555,0.064821372,0.057262322,0.059009737,0.052327804,0.043643408,0.044922624
2,A2069488,1359190,Self Recommnedation,0.071984152,0.150861675,0.062898171,0.06241183,0.056936599,0.05726745,0.035320425,0.032472462
3,A2069488,1359190,Social media,0.025782827,0.024330252,0.058963327,0.030301834,0.023910424,0.032122951,0.018996613,0.017537411
4,A2089874,1378289,Summer Break,0.169919214,0.091693358,0.089714179,0.09623451,0.082813906,0.077009214,0.061625408,0.051744344
5,A2089874,1378289,Self Recommnedation,0.134539485,0.208488614,0.120941998,0.120951366,0.11833497,0.103962223,0.074625947,0.073170479
6,A2089874,1378289,Social media,0.111985871,0.114202711,0.193809864,0.104897448,0.091929156,0.093148499,0.064850562,0.054898682
7,A2137820,1424039,Summer Break,0.040045098,0.028290935,0.020783697,0.015887777,0.018308084,0.017612795,0.011938549,0.016264474
8,A2137820,1424039,Self Recommnedation,0.048980007,0.078572389,0.050615877,0.052348301,0.044905344,0.049661884,0.031051107,0.027937685
9,A2137820,1424039,Social media,0.039444995,0.035380401,0.054723817,0.052502795,0.04283028,0.038813713,0.034216698,0.041063744
10,A2280733,1561494,Summer Break,0.189508136,0.110462266,0.103278273,0.101592218,0.101767419,0.101724313,0.07021442,0.054960783
11,A2280733,1561494,Self Recommnedation,0.141973529,0.229638224,0.127071416,0.138791612,0.117417778,0.116249748,0.083200452,0.075588106
12,A2280733,1561494,Social media,0.101860546,0.105313476,0.209825898,0.126201409,0.110408546,0.109381255,0.081927581,0.085456417
13,A2354445,1632557,Summer Break,0.190841016,0.102104719,0.094769444,0.107973636,0.096022409,0.084182758,0.067092763,0.066659671
14,A2354445,1632557,Self Recommnedation,0.117019701,0.242500926,0.109111479,0.103407013,0.116229034,0.100019754,0.069927874,0.05919714
15,A2354445,1632557,Social media,0.108231803,0.10098245,0.204333816,0.135183432,0.112345033,0.108591384,0.082026451,0.07452987
16,A2430897,1702681,Summer Break,0.00032483,0.000329344,0,0,0.000672176,0.000793927,0,0
17,A2430897,1702681,Self Recommnedation,0.00032483,0.000329344,0,0,0.000672176,0.000793927,0,0
18,A2430897,1702681,Social media,0.002207765,0.00108605,0.024949115,0.002153067,0.00081912,0.002229117,0.001801386,0.000303602
19,A2539503,1782928,Summer Break,0.156248774,0.106847063,0.093711065,0.102695433,0.091857769,0.085037433,0.074221886,0.061563021
20,A2539503,1782928,Self Recommnedation,0.128673003,0.233450866,0.125508376,0.119557082,0.1093158,0.109865511,0.075716034,0.068285216
21,A2539503,1782928,Social media,0.102497907,0.110891396,0.196065187,0.114284674,0.102054744,0.108065672,0.077590846,0.081386915
22,A2563089,1799949,Summer Break,0.195533733,0.104470139,0.102458843,0.101615795,0.095363649,0.093735173,0.076419947,0.066409621
23,A2563089,1799949,Self Recommnedation,0.111980038,0.187121174,0.112157562,0.118237087,0.093952941,0.095950089,0.064123434,0.063331602
24,A2563089,1799949,Social media,0.091350699,0.083275717,0.174420939,0.095882458,0.075797413,0.079032468,0.064654389,0.053690686
25,A2563372,1800143,Summer Break,0.160781069,0.069234401,0.081313993,0.070158112,0.064846197,0.06942998,0.058161843,0.051672324
26,A2563372,1800143,Self Recommnedation,0.1084734,0.179996309,0.101378143,0.117832596,0.094510391,0.095013852,0.065760377,0.064140948
27,A2563372,1800143,Social media,0.0801347,0.08372278,0.207796718,0.085732334,0.094387691,0.081816674,0.061239799,0.065519594
28,A2568017,1803904,Summer Break,0.149079747,0.069700071,0.079484476,0.068019104,0.068351926,0.061825096,0.056222046,0.047253619
