no,username,testId,topic,Wishlist,About Me,School Supplies,Things To Do,Best Friend,CITY_TOWN,WEATHER,FAMILY,CELEBRATIONS
1,A2391044,1667891,Wishlist,0.096304197,0.013522739,0,0,0,0.007142168,0.002376612,0,0.005591784
2,A2391044,1667891,About Me,0.00820543,0.103083477,0.008645391,0.01542305,0.02585834,0.0274562,0.03096996,0.031667515,0.024974924
3,A2391044,1667891,School Supplies,0,0,0.069200429,0,0,0,0,0,0
4,A2543812,1786865,About Me,0,0.011163083,0,0,0,0,0,0,0
5,A2543812,1786865,School Supplies,0,0.010675182,0.100788775,0,0.007928794,0.020984003,0,0.004047557,0
6,A2543812,1786865,Wishlist,0.032577298,0,0,0,0,0,0,0,0
7,C2130502,1417170,About Me,0.020283503,0.199405694,0.006174186,0.077358508,0.024181351,0.035514039,0.072082985,0.046421582,0.038385113
8,C2130502,1417170,Things To Do,0.012662457,0.073004365,0.001184195,0.30810638,0.062918141,0.026548175,0.067924826,0.039250181,0.037868897
9,C2130502,1417170,Best Friend,0.004776847,0.040158386,0.001934575,0.055530479,0.23810955,0.019158313,0.027552681,0.039789609,0.020594436
10,C2211421,1495628,About Me,0.038156222,0.026149564,0.066177975,0.047888123,0.01456658,0.043370188,0,0.003718034,0
11,C2211421,1495628,School Supplies,0,0,0.119063105,0,0,0,0,0,0
12,C2211421,1495628,Wishlist,0.122840101,0.014082899,0.019207894,0,0,0.026605047,0.008815946,0.007008,0.00570055
13,E2193976,1478868,Best Friend,0.087289095,0.186942953,0.018924225,0.073035024,0.07497815,0.071656695,0.128134855,0.078677351,0.100871383
14,E2193976,1478868,About Me,0.017008298,0.109583365,0.010215424,0.02520524,0.014956608,0.029497216,0.03371953,0.032482931,0.031883222
15,E2193976,1478868,Things To Do,0.041641908,0.271139515,0.009320514,0.298742699,0.068722619,0.056516034,0.240824262,0.070833785,0.095543021
16,F2402431,1678025,About Me,0.02486853,0.212807586,0.010148105,0.022914973,0.023852829,0.042512512,0.064516981,0.101488882,0.057256035
17,F2402431,1678025,Things To Do,0.020083022,0.078926739,0.007428668,0.236849125,0.01748959,0.03725876,0.060644894,0.065529261,0.071536113
18,F2402431,1678025,Best Friend,0.009724745,0.025667135,0.001164847,0.014258688,0.152036589,0.014768681,0.020148995,0.012990115,0.011339507
19,F2604487,1838797,About Me,0.018434222,0.196970949,0.007496633,0.101256139,0.02640339,0.030558811,0.090776685,0.071471763,0.052597364
20,F2604487,1838797,Wishlist,0.141163773,0.019707701,0.030677294,0.006672681,0.019222411,0.023882072,0.019099316,0.036860277,0.012944605
21,F2604487,1838797,School Supplies,0.034061079,0.015008991,0.174460704,0.004879534,0.004452761,0.027680932,0.007532462,0.015901263,0.006532307
22,J2214674,1498742,About Me,0.048355421,0.374056079,0.025421571,0.039995731,0.0657385,0.135145736,0.127182096,0.219884498,0.11913585
23,J2214674,1498742,School Supplies,0,0,0.028250957,0,0,0,0,0,0
24,J2214674,1498742,Wishlist,0.032577298,0,0,0,0,0,0,0,0
25,J2575754,1811216,Wishlist,0.166960871,0.018526787,0.019288263,0.005013375,0.005146758,0.012600933,0.01204403,0.006478086,0.008968521
26,J2575754,1811216,About Me,0.023615671,0.145732818,0.007906253,0.016178693,0.015347973,0.023106182,0.034907834,0.069108614,0.029267228
27,J2575754,1811216,School Supplies,0,0,0,0,0,0,0,0,0
28,K2130462,1417130,Things To Do,0.007948362,0.069893365,0.003087341,0.283163096,0.041971947,0.025027356,0.058986868,0.029085094,0.025191187
29,K2130462,1417130,About Me,0.015879803,0.204032757,0.025791948,0.025817364,0.081699705,0.039831732,0.044325096,0.080438565,0.031989982
30,K2130462,1417130,Best Friend,0.007511696,0.071854115,0.005445648,0.033344267,0.440861983,0.046916546,0.056446712,0.065292288,0.03629145
31,K2607189,1841498,About Me,0.012735541,0.174525755,0.007510787,0.04763686,0.045625274,0.055211139,0.059742942,0.07485263,0.045002242
32,K2607189,1841498,Wishlist,0.163407498,0.024624267,0.008743202,0.006975251,0.006995828,0.031651394,0.018969691,0.011591816,0.01713066
