no,username,testId,topic,Favorite Class,School Improvement,Questions,School Routine,Project,ANIMALS,COMMUNICATIONS,DIRECTIONS,POP_CULTURE,THEATER,TRAVEL,CAREERS,SCIENCE
1,A2062098,1352741,Favorite Class,0.141645752,0.119054975,0.069450471,0.071008299,0.070447381,0.056170697,0.083401885,0.035574184,0.088301121,0.070873348,0.06478877,0.033311495,0.047595484
2,A2062098,1352741,School Improvement,0.115653774,0.178535787,0.068808639,0.081971289,0.063091294,0.069728195,0.102290919,0.045185734,0.112553077,0.087466905,0.077083276,0.037710927,0.062162951
3,A2062098,1352741,Questions,0.030090012,0.029366552,0.067868709,0.023304525,0.026184598,0.022991341,0.027395743,0.020087227,0.025279778,0.033637027,0.029422277,0.011144517,0.011821848
4,A2071278,1360573,Favorite Class,0.156994771,0.075339067,0.043605802,0.039528141,0.057137428,0.05001226,0.066805121,0.026997853,0.068247777,0.060168377,0.062136966,0.025467949,0.046003402
5,A2071278,1360573,School Improvement,0.08743043,0.133878326,0.039322228,0.027924638,0.051166928,0.067867439,0.066768745,0.029829981,0.097020118,0.071958781,0.070419905,0.028389505,0.032701961
6,A2071278,1360573,Questions,0.029644586,0.025451734,0.117799018,0.01512859,0.028908905,0.033450381,0.033617624,0.033547415,0.031834568,0.038608825,0.037620856,0.017462667,0.018713533
7,A2086310,1375101,Favorite Class,0.118640169,0.070747036,0.040355322,0.038512177,0.058107811,0.042547388,0.061992573,0.034627348,0.068650598,0.063032495,0.060088962,0.022330895,0.043677936
8,A2086310,1375101,School Improvement,0.053170341,0.09437394,0.029375868,0.01973539,0.026431493,0.037592222,0.037413359,0.018379227,0.048061396,0.040524708,0.038831658,0.019828315,0.027492092
9,A2086310,1375101,Questions,0.025530286,0.055899847,0.0708106,0.009330053,0.01282151,0.025367003,0.039888274,0.024982417,0.044424056,0.027011383,0.025004586,0.012044262,0.008833481
10,A2097154,1385069,Favorite Class,0.289188769,0.163829839,0.091019371,0.091386953,0.108939031,0.089551958,0.136710335,0.067895467,0.114865402,0.098553888,0.093648627,0.063489577,0.098153443
11,A2097154,1385069,School Improvement,0.136400779,0.225935094,0.106514612,0.085615528,0.11002265,0.109089434,0.138971759,0.0635933,0.158487,0.115440373,0.10638824,0.081153729,0.077666199
12,A2097154,1385069,Questions,0.081649624,0.109544846,0.174971369,0.050265975,0.070632375,0.067467266,0.094454942,0.055865168,0.106661989,0.07523214,0.067303306,0.042290805,0.035584666
13,A2098926,1386776,Favorite Class,0.043731555,0.027059463,0.020284998,0.019332367,0.023526474,0.020836702,0.024073812,0.009964758,0.02732278,0.022159716,0.02195302,0.006480923,0.01099997
14,A2098926,1386776,School Improvement,0.021136463,0.056573221,0.029242779,0.012794565,0.021123968,0.038331999,0.034938817,0.013367485,0.045709173,0.0191853,0.029156058,0.011758072,0.014755894
15,A2098926,1386776,Questions,0.009215537,0.009669394,0.054358498,0.007586076,0.021409661,0.019137599,0.014445524,0.00819491,0.013493909,0.01074256,0.017058174,0.009092087,0.004341151
16,A2120627,1407581,Favorite Class,0.207718711,0.084749981,0.056045369,0.05966347,0.061413634,0.043817099,0.077693908,0.026127108,0.062939426,0.065209412,0.060702481,0.027017631,0.055573958
17,A2120627,1407581,School Improvement,0.084249146,0.150891069,0.06564156,0.038687794,0.042985232,0.035014375,0.055570492,0.021767415,0.086990316,0.059042245,0.042096336,0.022492222,0.016755176
18,A2120627,1407581,Questions,0.041021272,0.039895014,0.164648287,0.018693314,0.032555033,0.035013773,0.043913629,0.033992352,0.034333093,0.03055852,0.024812997,0.020680612,0.012519229
19,A2124485,1411262,Favorite Class,0.204861851,0.122628159,0.093648902,0.083202546,0.085320511,0.061647687,0.107275306,0.03885223,0.085315533,0.071679717,0.065320065,0.063411335,0.076383121
