no, distIMF, distIMM, distISE, distINE, maxSim, predicted, expected,,Overall,
1,0.493803947,0.501379426,0.49255507,0.353356287,0.501379426,I-MM,I-MF,,Correct,9182
2,0.462606037,0.491835194,0.484306904,0.369812074,0.491835194,I-MM,I-MM,,Total,19069
3,0.387073558,0.430759073,0.429635072,0.336612389,0.430759073,I-MM,I-MM,,Percentage,48%
4,0.387073558,0.430759073,0.429635072,0.336612389,0.430759073,I-MM,I-MM,,IMF,
5,0.462606037,0.491835194,0.484306904,0.369812074,0.491835194,I-MM,I-MF,,Correct,5009
6,0.493803947,0.501379426,0.49255507,0.353356287,0.501379426,I-MM,I-MM,,Total,7170
7,0.496700178,0.489557257,0.48535614,0.363805884,0.496700178,I-MF,I-SE,,Percentage,70%
8,0.475421373,0.505030264,0.530572818,0.599134344,0.599134344,I-NE,I-MM,,IMM,
9,0.432858704,0.450311607,0.470413303,0.483277372,0.483277372,I-NE,I-MM,,Correct,1696
10,0.432858704,0.450311607,0.470413303,0.483277372,0.483277372,I-NE,I-SE,,Total,5529
11,0.475421373,0.505030264,0.530572818,0.599134344,0.599134344,I-NE,I-MM,,Percentage,31%
12,0.496700178,0.489557257,0.48535614,0.363805884,0.496700178,I-MF,I-SE,,ISE,
13,0.705240889,0.712127591,0.707006926,0.549851291,0.712127591,I-MM,I-MF,,Correct,1537
14,0.729088387,0.724462424,0.717839287,0.555896815,0.729088387,I-MF,I-MF,,Total,4080
15,0.506118434,0.521183784,0.530484101,0.456670387,0.530484101,I-SE,I-SE,,Percentage,38%
16,0.506118434,0.521183784,0.530484101,0.456670387,0.530484101,I-SE,I-SE,,INE,
17,0.729088387,0.724462424,0.717839287,0.555896815,0.729088387,I-MF,I-MF,,Correct,940
18,0.705240889,0.712127591,0.707006926,0.549851291,0.712127591,I-MM,I-MF,,Total,2290
19,0.387922952,0.404707691,0.394575845,0.287788047,0.404707691,I-MM,I-MM,,Percentage,41%
20,0.440174589,0.472882124,0.458226392,0.333240815,0.472882124,I-MM,I-MM,,,
21,0.416624337,0.447012896,0.443403686,0.338113002,0.447012896,I-MM,I-MM,,,
22,0.416624337,0.447012896,0.443403686,0.338113002,0.447012896,I-MM,I-MM,,,
23,0.440174589,0.472882124,0.458226392,0.333240815,0.472882124,I-MM,I-MM,,,
24,0.387922952,0.404707691,0.394575845,0.287788047,0.404707691,I-MM,I-MM,,,
25,0.683422463,0.71031623,0.702533761,0.560238123,0.71031623,I-MM,I-SE,,,
26,0.489781368,0.51613774,0.504751827,0.358933046,0.51613774,I-MM,I-SE,,,
27,0.379266243,0.410262979,0.416194935,0.316617362,0.416194935,I-SE,I-SE,,,
28,0.379266243,0.410262979,0.416194935,0.316617362,0.416194935,I-SE,I-SE,,,
29,0.489781368,0.51613774,0.504751827,0.358933046,0.51613774,I-MM,I-SE,,,
30,0.683422463,0.71031623,0.702533761,0.560238123,0.71031623,I-MM,I-SE,,,
31,0.68319628,0.661722274,0.63789762,0.466701415,0.68319628,I-MF,I-MM,,,
32,0.685847073,0.651472733,0.636047292,0.46667263,0.685847073,I-MF,I-MM,,,
