no, testId,topic, distIMF, distIMM, distISE, distINE, maxSim, predicted, expected
1,2066577,LANGUAGE ARTS,0.3002874495823987,0.3009093643972502,0.2909146135293062,0.28639304426274487,0.3009093643972502,A-MM,A-NE
2,2066577,EDUCATION,0.3002874495823987,0.3009093643972502,0.2909146135293062,0.28639304426274487,0.3009093643972502,A-MM,A-NE
3,2066577,ENVIRONMENT,0.4328975010309166,0.4302963409155978,0.4166436192888211,0.39988911931748994,0.4328975010309166,A-MF,A-NE
4,2076436,LANGUAGE ARTS,0.6957766362983899,0.6984339957490131,0.7121755517427578,0.7016721013629722,0.7121755517427578,A-SE,A-SE
5,2076436,EDUCATION,0.6881170979271172,0.689878355029574,0.7037007824461152,0.7102327988798152,0.7102327988798152,A-NE,A-NE
6,2076436,ENVIRONMENT,0.7571532336866033,0.7519345769510418,0.7656245982212013,0.7669106577901825,0.7669106577901825,A-NE,A-NE
7,2080410,EDUCATION,0.8886093371807712,0.8811856419609516,0.8717167412750143,0.8468616752684444,0.8886093371807712,A-MF,A-MF
8,2080410,ENVIRONMENT,0.8668101937315587,0.8611702476834977,0.8650629604137314,0.8453938144227483,0.8668101937315587,A-MF,A-MF
9,2080410,LANGUAGE ARTS,0.8532097552508653,0.8449591779273629,0.8456096534540992,0.8254586031195209,0.8532097552508653,A-MF,A-MF
10,2092621,HEALTH,0.29289756506532405,0.2972320322668568,0.3043951266602638,0.3079233543255592,0.3079233543255592,A-NE,A-NE
11,2092621,LANGUAGE ARTS,0.442580796931786,0.4481308702349107,0.44061468971843376,0.4380894550588212,0.4481308702349107,A-MM,A-NE
12,2092621,POP_CULTURE,0.3807700617965597,0.37590505042104466,0.37439963084470157,0.36845401954248225,0.3807700617965597,A-MF,A-NE
13,2098992,LANGUAGE ARTS,0.7463626740998245,0.7496207647665886,0.7559521834816478,0.751018641751956,0.7559521834816478,A-SE,A-MF
14,2098992,EDUCATION,0.7419092611419451,0.7410603411690247,0.7473308031870298,0.74068672884725,0.7473308031870298,A-SE,A-MF
15,2098992,ENVIRONMENT,0.8068038439920826,0.8005156851878448,0.8107939932931286,0.7984785589976775,0.8107939932931286,A-SE,A-MF
16,2135972,HEALTH,0.8822127998577152,0.8744123849210257,0.8720713529563707,0.8588138576665757,0.8822127998577152,A-MF,A-MF
17,2135972,LANGUAGE ARTS,0.9016895201518564,0.8931575051305034,0.8911215206716012,0.8686323512434282,0.9016895201518564,A-MF,A-MF
18,2135972,POP_CULTURE,0.8507548719037467,0.8463280324249757,0.8434643015934629,0.8332419825409139,0.8507548719037467,A-MF,A-MF
19,2188317,EDUCATION,0.7188850756467224,0.7226964525119037,0.7315735835187428,0.7551712388743077,0.7551712388743077,A-NE,A-NE
20,2188317,LANGUAGE ARTS,0.7421765473375275,0.7479671726057378,0.7621304254144011,0.7788296650159205,0.7788296650159205,A-NE,A-NE
21,2188317,ENVIRONMENT,0.6030606866678293,0.6005422947809881,0.6136287346233642,0.6294402067005601,0.6294402067005601,A-NE,A-NE
22,2189330,EDUCATION,0.3002874495823987,0.3009093643972502,0.2909146135293062,0.28639304426274487,0.3009093643972502,A-MM,A-NE
23,2189330,ENVIRONMENT,0.3002874495823987,0.3009093643972502,0.2909146135293062,0.28639304426274487,0.3009093643972502,A-MM,A-NE
24,2189330,LANGUAGE ARTS,0.7046507159001347,0.7041095672871449,0.7223777837079499,0.7161488616274084,0.7223777837079499,A-SE,A-SE
25,2263435,LANGUAGE ARTS,0.8545292624732355,0.8487648270531329,0.8464730096508666,0.8289504950106661,0.8545292624732355,A-MF,A-MF
26,2263435,EDUCATION,0.8329985895866153,0.8274908502563445,0.8244144512578002,0.8006613341420658,0.8329985895866153,A-MF,A-MF
27,2263435,ENVIRONMENT,0.7819171385183993,0.773688124708571,0.7646136505726224,0.7438667725076621,0.7819171385183993,A-MF,A-MF
28,2298055,EDUCATION,0.7591282684671464,0.7619096708869582,0.7575476697954167,0.7468044499481277,0.7619096708869582,A-MM,A-MM
29,2298055,LANGUAGE ARTS,0.728540481395566,0.7327542512822814,0.7231311837335641,0.7065438645680701,0.7327542512822814,A-MM,A-MM
30,2298055,ENVIRONMENT,0.7152579426115828,0.7159154925022881,0.7109673781226041,0.7049825353599588,0.7159154925022881,A-MM,A-MM
31,2385743,LANGUAGE ARTS,0.7928071646761086,0.7907576736875805,0.7837614954155065,0.7789291664213661,0.7928071646761086,A-MF,A-MF
32,2385743,EDUCATION,0.8018974425995643,0.8086390320032779,0.7807601026508432,0.7696744699135467,0.8086390320032779,A-MM,A-MM
33,2385743,ENVIRONMENT,0.7775950938811753,0.7757292346466913,0.7575793997630924,0.7406873235264825,0.7775950938811753,A-MF,A-MF
34,2042380,LANGUAGE ARTS,0.7131514139684397,0.7178370879625308,0.7305787440458194,0.7242028978579375,0.7305787440458194,A-SE,A-SE
35,2042380,ENVIRONMENT,0.7252905423174121,0.7196249639016054,0.7322409086941405,0.7083060386896207,0.7322409086941405,A-SE,A-SE
36,2042380,EDUCATION,0.6964077043213294,0.6973289582122739,0.7053173905135989,0.7004568047368824,0.7053173905135989,A-SE,A-SE
37,2060989,HEALTH,0.6668237482141715,0.6717278519125941,0.6706361149245631,0.6525479124198716,0.6717278519125941,A-MM,A-SE
38,2060989,LANGUAGE ARTS,0.6502645848637431,0.6539851763047975,0.6640659760923322,0.659640221015543,0.6640659760923322,A-SE,A-SE
39,2060989,POP_CULTURE,0.8293584996744666,0.8273798870751189,0.8395783541177588,0.8183476349039888,0.8395783541177588,A-SE,A-SE
40,2068037,LANGUAGE ARTS,0.5598772109511214,0.5575385466621026,0.549748004583368,0.5402961935196116,0.5598772109511214,A-MF,A-SE
41,2068037,EDUCATION,0.44210879819839793,0.44022716112664706,0.4280068310935912,0.41744893531739113,0.44210879819839793,A-MF,A-NE
42,2068037,ENVIRONMENT,0.3657821385187159,0.3637208549278137,0.36725240875868304,0.3672529586128338,0.3672529586128338,A-NE,A-NE
43,2072433,LANGUAGE ARTS,0.6447863985765844,0.6468572706516518,0.6420205276563747,0.6326745460929599,0.6468572706516518,A-MM,A-SE
44,2072433,EDUCATION,0.6751985306358702,0.6813861382729648,0.6668421986030637,0.6554740784500481,0.6813861382729648,A-MM,A-SE
45,2072433,ENVIRONMENT,0.5223247222164468,0.5163896588705488,0.5300537151253468,0.5387636539535492,0.5387636539535492,A-NE,A-NE
46,2130713,LANGUAGE ARTS,0.6757479302130768,0.6694800686579025,0.6711284601118715,0.6656733274332188,0.6757479302130768,A-MF,A-SE
47,2130713,EDUCATION,0.5640208035526304,0.566260873167734,0.5514217562362042,0.541570877247852,0.566260873167734,A-MM,A-NE
48,2130713,ENVIRONMENT,0.5878393984048487,0.5830525234502046,0.5823810253818394,0.5792966490679153,0.5878393984048487,A-MF,A-SE
49,2132039,LANGUAGE ARTS,0.762672213488823,0.7633974499719297,0.779448549464822,0.7792954429741946,0.779448549464822,A-SE,A-MF
50,2132039,EDUCATION,0.8328130936140348,0.8242829341943715,0.8313211399784523,0.8205139497845435,0.8328130936140348,A-MF,A-MF
51,2132039,ENVIRONMENT,0.8669886802610958,0.862796107077505,0.8656561429683582,0.846595823317534,0.8669886802610958,A-MF,A-MF
52,2186493,HEALTH,0.5218603100756184,0.5273247014872056,0.5263576245098914,0.5200534899635095,0.5273247014872056,A-MM,A-SE
53,2186493,LANGUAGE ARTS,0.7531428148033077,0.7522336782464963,0.7573634322147957,0.7518537333918235,0.7573634322147957,A-SE,A-SE
54,2186493,POP_CULTURE,0.5113781553820805,0.5143774922720382,0.5068111581923231,0.5116525030268055,0.5143774922720382,A-MM,A-NE
55,2199305,EDUCATION,0.7678644463192402,0.7597421109188083,0.7575453248485179,0.7461027254232577,0.7678644463192402,A-MF,A-MF
56,2199305,LANGUAGE ARTS,0.746616596870627,0.7397481937786989,0.7443870854159118,0.7353081811353561,0.746616596870627,A-MF,A-MF
57,2199305,ENVIRONMENT,0.714657919781471,0.7244724652402093,0.7200295575900151,0.7157822437243273,0.7244724652402093,A-MM,A-MF
58,2199313,EDUCATION,0.8333096368492023,0.8292086239181042,0.8224567469556667,0.8096895662386866,0.8333096368492023,A-MF,A-MF
59,2199313,LANGUAGE ARTS,0.7614495702047884,0.7589512380650737,0.7626036267891488,0.7569722655351925,0.7626036267891488,A-SE,A-MF
60,2199313,ENVIRONMENT,0.8367271711737915,0.8327328736243393,0.8260910463710416,0.810597590595747,0.8367271711737915,A-MF,A-MF
61,2211420,EDUCATION,0.5200512660640315,0.5209896432748126,0.5308154478419482,0.5308865212800106,0.5308865212800106,A-NE,A-SE
62,2211420,ENVIRONMENT,0.5729476872054942,0.5675257809663294,0.5708299395636,0.5621231896708202,0.5729476872054942,A-MF,A-SE
63,2211420,LANGUAGE ARTS,0.507273963002375,0.5054413462253717,0.5115700145281346,0.5140785519519736,0.5140785519519736,A-NE,A-SE
64,2218778,HEALTH,0.8023823879701406,0.7985076181580266,0.798314735946947,0.7889202979577566,0.8023823879701406,A-MF,A-MF
65,2218778,LANGUAGE ARTS,0.8395598545379126,0.8377879872557432,0.8403563362314566,0.8232219593973303,0.8403563362314566,A-SE,A-MF
66,2218778,POP_CULTURE,0.8247647611910169,0.821822346204095,0.8232740102107202,0.8174725071766227,0.8247647611910169,A-MF,A-MF
67,2244534,EDUCATION,0.1459802452064027,0.14929560022844407,0.15632553044259256,0.1756214270783182,0.1756214270783182,A-NE,A-NE
68,2244534,LANGUAGE ARTS,0.6500289103029013,0.6436615916661313,0.6554386845061975,0.6406904335073279,0.6554386845061975,A-SE,A-SE
69,2244534,ENVIRONMENT,0.3002874495823987,0.3009093643972502,0.2909146135293062,0.28639304426274487,0.3009093643972502,A-MM,A-NE
70,2265567,HEALTH,0.8002425232868091,0.8052333439204612,0.7947726440320723,0.7824992750521391,0.8052333439204612,A-MM,A-MM
71,2265567,LANGUAGE ARTS,0.7489569407770962,0.7521168883131328,0.7367697634490886,0.7224301482695292,0.7521168883131328,A-MM,A-MM
72,2265567,POP_CULTURE,0.85029110301809,0.851095960406151,0.8493565582912199,0.8352020637458698,0.851095960406151,A-MM,A-MM
